label,count,parent,id
secondary,1,what,what/secondary
class,1,what/secondary,what/secondary/class
overall,5,which,which/overall
is,3,which/overall,which/overall/is
is,1,which/round,which/round/is
has,4,which/college,which/college/has
population,1,what/average,what/average/population
democratic,3,which,which/democratic
incumbent,1,which/democratic,which/democratic/incumbent
republican,1,which,which/republican
was,1,which/republican,which/republican/was
result,17,which,which/result
was,1,which/result,which/result/was
first,5,who/was,who/was/first
province,1,which/club,which/club/province
of,1,which/date,which/date/of
caps,1,which,which/caps
is,1,which/caps,which/caps/is
capacity,2,which/case,which/case/capacity
8,2,which,which/8
23,2,which/8,which/8/23
9,1,which,which/9
72,1,which/9,which/9/72
goals,2,what,what/goals
with,1,what/goals,what/goals/with
students,1,which/university,which/university/students
high,2,which/junior,which/junior/high
value,2,what,what/value
for,2,what/value,what/value/for
metro,2,what,what/metro
vincity,1,what/metro,what/metro/vincity
has,2,what/venue,what/venue/has
sum,4,is/the,is/the/sum
highest,6,is/the,is/the/highest
mixed,1,who/played,who/played/mixed
women,3,who/won,who/won/women
third,2,which,which/third
has,2,which/third,which/third/has
has,1,which/second,which/second/has
lead,1,which,which/lead
has,1,which/lead,which/lead/has
has,8,which/nation,which/nation/has
skip,1,which,which/skip
has,1,which/skip,which/skip/has
has,11,what/player,what/player/has
had,9,what/competition,what/competition/had
brazil,2,what,what/brazil
scorers,2,what/brazil,what/brazil/scorers
s,1,what/competition,what/competition/s
have,2,which/points,which/points/have
january,1,which,which/january
has,1,which/january,which/january/has
record,22,which,which/record
has,19,which/record,which/record/has
attendance,12,which,which/attendance
has,11,which/attendance,which/attendance/has
is,1,which/attendance,which/attendance/is
visited,1,who,who/visited
on,1,who/visited,who/visited/on
webcast,2,which,which/webcast
was,1,which/webcast,which/webcast/was
opposition,3,which,which/opposition
has,3,which/opposition,which/opposition/has
has,28,which/venue,which/venue/has
alexander,1,what/is,what/is/alexander
senyi,1,what/is,what/is/senyi
december,1,which,which/december
has,1,which/december,which/december/has
is,3,which/game,which/game/is
was,9,what/tournament,what/tournament/was
ontario,1,what/s,what/s/ontario
segment,2,which,which/segment
c,1,which/segment,which/segment/c
a,1,which/segment,which/segment/a
church,5,which,which/church
had,1,which/church,which/church/had
was,1,which/church,which/church/was
organized,1,who,who/organized
alston,1,who/organized,who/organized/alston
person,3,what,what/person
was,1,what/person,what/person/was
has,10,which/driver,which/driver/has
seasons,1,which,which/seasons
have,1,which/seasons,which/seasons/have
had,4,what/club,what/club/had
drove,1,what/team,what/team/drove
stacy,1,what/was,what/was/stacy
capital,3,what,what/capital
area,3,what,what/area
1930,1,what/area,what/area/1930
population,3,what,what/population
1931,1,what/population,what/population/1931
plate,1,what/car,what/car/plate
car,1,is/the,is/the/car
poles,2,which,which/poles
has,2,which/poles,which/poles/has
fastest,1,how/many,how/many/fastest
the,5,which,which/the
fastest,2,which/the,which/the/fastest
variant,1,what,what/variant
has,1,what/variant,what/variant/has
bronze,9,how/many,how/many/bronze
playing,1,which,which/playing
for,1,which/playing,which/playing/for
100,1,which,which/100
has,1,which/100,which/100/has
sum,1,which,which/sum
of,1,which/sum,which/sum/of
against,8,which,which/against
has,7,which/against,which/against/has
tejano,1,what,what/tejano
webcast,1,what/tejano,what/tejano/webcast
has,1,which/webcast,which/webcast/has
has,41,which/date,which/date/has
to,12,which,which/to
par,12,which/to,which/to/par
score,2,which/winning,which/winning/score
lifespan,1,what,what/lifespan
has,1,what/lifespan,what/lifespan/has
visitor,1,what,what/visitor
came,1,what/visitor,what/visitor/came
was,3,what/game,what/game/was
venue,10,in/what,in/what/venue
at,3,who/was,who/was/at
is,5,what/time,what/time/is
loss,5,what,what/loss
is,1,what/loss,what/loss/is
listed,2,what/s,what/s/listed
is,4,which/party,which/party/is
district,11,which,which/district
has,4,which/district,which/district/has
s,1,which/2009,which/2009/s
2011,4,which,which/2011
s,1,which/2011,which/2011/s
2010,3,which,which/2010
stat,1,which/2010,which/2010/stat
hereditary,1,which,which/hereditary
peers,1,which/hereditary,which/hereditary/peers
total,19,which,which/total
has,8,which/total,which/total/has
elector,4,which,which/elector
is,1,which/elector,which/elector/is
cardinalatial,1,which,which/cardinalatial
title,1,which/cardinalatial,which/cardinalatial/title
works,4,which,which/works
number,2,which/works,which/works/number
has,9,which/type,which/type/has
were,6,what/date,what/date/were
ihsaa,2,what,what/ihsaa
clas,1,what/ihsaa,what/ihsaa/clas
opponents,7,which,which/opponents
in,5,which/opponents,which/opponents/in
partner,8,which,which/partner
has,4,which/partner,which/partner/has
led,1,which/opponent,which/opponent/led
is,2,which/pick,which/pick/is
regionalliga,1,which,which/regionalliga
west,1,which/regionalliga,which/regionalliga/west
was,1,what/score,what/score/was
was,5,which/tournament,which/tournament/was
joined,1,which/conference,which/conference/joined
left,2,which/year,which/year/left
main,2,what,what/main
location,1,what/main,what/main/location
has,1,which/method,which/method/has
has,9,which/event,which/event/has
winner,4,which,which/winner
has,3,which/winner,which/winner/has
corresponds,1,which/stage,which/stage/corresponds
frequency,1,what/average,what/average/frequency
tv,12,which,which/tv
season,1,which/tv,which/tv/season
is,2,what/league,what/league/is
has,3,what/league,what/league/has
tea,1,which/mls,which/mls/tea
does,2,what/rank,what/rank/does
first,10,which,which/first
was,1,which/first,which/first/was
has,2,which/first,which/first/has
surname,1,which,which/surname
has,1,which/surname,which/surname/has
dob,1,which,which/dob
has,1,which/dob,which/dob/has
throws,1,how/many,how/many/throws
draw,1,what/highest,what/highest/draw
performer,2,what/was,what/was/performer
has,5,what/record,what/record/has
county,1,when/the,when/the/county
per,1,when/the,when/the/per
builder,3,which,which/builder
has,2,which/builder,which/builder/has
railway,4,which,which/railway
has,1,which/railway,which/railway/has
had,2,which/week,which/week/had
10,2,which/week,which/week/10
7,2,which/week,which/week/7
14,1,which/week,which/week/14
13,1,which/week,which/week/13
engine,11,which,which/engine
had,2,which/engine,which/engine/had
had,2,which/model,which/model/had
of,32,which,which/of
the,16,which/of,which/of/the
height,3,which,which/height
has,2,which/height,which/height/has
pos,1,which,which/pos
has,1,which/pos,which/pos/has
includes,1,which/county,which/county/includes
of,2,what/amount,what/amount/of
drawn,1,what/highest,what/highest/drawn
elected,2,which/first,which/first/elected
points,2,what,what/points
have,1,what/points,what/points/have
japan,1,what/was,what/was/japan
scored,1,what/player,what/player/scored
floors,1,what/lowest,what/lowest/floors
pick,2,what/lowest,what/lowest/pick
has,3,which/division,which/division/has
median,1,which,which/median
family,1,which/median,which/median/family
quotient,1,which,which/quotient
of,6,which/number,which/number/of
teams,19,what/two,what/two/teams
ou,1,which,which/ou
career,1,which/ou,which/ou/career
in,2,which/score,which/score/in
in,1,which/opponent,which/opponent/in
surface,12,which,which/surface
has,6,which/surface,which/surface/has
of,2,which/city,which/city/of
format,5,which,which/format
is,1,which/format,which/format/is
elected,3,what,what/elected
elected,2,what/highest,what/highest/elected
status,7,what,what/status
a,10,when/has,when/has/a
has,25,which/score,which/score/has
player,1,who/is,who/is/player
erp,1,what,what/erp
w,1,what/erp,what/erp/w
call,2,what,what/call
sign,2,what/call,what/call/sign
has,2,what/class,what/class/has
yards,5,which,which/yards
has,3,which/yards,which/yards/has
have,1,which/yards,which/yards/have
is,1,which/yards,which/yards/is
held,1,which/date,which/date/held
had,6,which/competition,which/competition/had
has,6,what/location,what/location/has
in,2,what/opponent,what/opponent/in
match,7,what,what/match
w,2,what/match,what/match/w
seeding,1,what,what/seeding
average,10,which,which/average
year,1,which/average,which/average/year
lowest,2,which,which/lowest
year,1,which/lowest,which/lowest/year
notes,2,which,which/notes
director,6,which,which/director
is,1,which/circuit,which/circuit/is
record,1,when/is,when/is/record
ended,1,which/year,which/year/ended
passenger,1,what,what/passenger
load,1,what/passenger,what/passenger/load
used,1,which/first,which/first/used
designation,2,which,which/designation
has,2,which/designation,which/designation/has
quantity,1,which,which/quantity
has,1,which/quantity,which/quantity/has
car,7,which,which/car
numbers,1,which/car,which/car/numbers
has,2,what/party,what/party/has
shows,1,what/position,what/position/shows
had,1,what/nationality,what/nationality/had
of,1,what/date,what/date/of
2006,3,which/area,which/area/2006
1996,1,which/area,which/area/1996
has,4,what/rank,what/rank/has
have,1,what/teams,what/teams/have
streak,1,what,what/streak
start,1,what/streak,what/streak/start
did,14,what/season,what/season/did
year,1,what/highest,what/highest/year
year,1,what/average,what/average/year
women,1,what,what/women
s,1,what/women,what/women/s
part,2,is,is/part
of,2,is/part,is/part/of
speed,2,which,which/speed
has,2,which/speed,which/speed/has
extra,1,which,which/extra
points,1,which/extra,which/extra/points
has,2,what/result,what/result/has
set,1,which,which/set
1,1,which/set,which/set/1
ot,1,how/many,how/many/ot
jimmy,1,what/was,what/was/jimmy
spanish,4,which,which/spanish
voice,3,which/spanish,which/spanish/voice
does,3,what/character,what/character/does
character,15,which,which/character
has,2,which/character,which/character/has
in,3,is,is/in
which,2,is/in,is/in/which
does,1,which/nation,which/nation/does
did,4,what/number,what/number/did
morison,1,what/was,what/was/morison
production,2,what,what/production
was,1,what/production,what/production/was
created,4,who,who/created
one,1,who/created,who/created/one
draw,1,how/much,how/much/draw
is,2,which/place,which/place/is
total,1,which/average,which/average/total
report,1,which/match,which/match/report
had,1,which/director,which/director/had
2005,3,what/is,what/is/2005
is,6,which/airport,which/airport/is
holds,2,which/city,which/city/holds
purpose,3,what,what/purpose
on,1,what,what/on
air,1,what/on,what/on/air
callsign,1,what,what/callsign
nk,2,what/is,what/is/nk
rider,2,what,what/rider
rank,1,what/lowest,what/lowest/rank
matches,2,which/total,which/total/matches
win,5,did/they,did/they/win
opposed,1,which/team,which/team/opposed
cuts,1,how/man,how/man/cuts
combination,2,which,which/combination
classification,2,which/combination,which/combination/classification
mountains,3,which,which/mountains
classification,3,which/mountains,which/mountains/classification
subtitles,1,what,what/subtitles
have,1,what/subtitles,what/subtitles/have
classification,1,what,what/classification
has,1,what/classification,what/classification/has
sound,1,what,what/sound
has,1,what/sound,what/sound/has
language,14,what,what/language
has,3,what/language,what/language/has
wins,1,what/highest,what/highest/wins
points,1,what/lowest,what/lowest/points
points,1,what/highest,what/highest/points
pitcher,1,what,what/pitcher
scored,1,what/pitcher,what/pitcher/scored
games,5,what,what/games
covered,1,what/games,what/games/covered
nominated,1,which/group,which/group/nominated
colony,2,which,which/colony
name,2,which/colony,which/colony/name
is,1,which/position,which/position/is
example,6,what,what/example
in,1,what/example,what/example/in
tone,2,which,which/tone
has,1,which/tone,which/tone/has
goes,1,which/tone,which/tone/goes
wicket,1,in/what,in/what/wicket
took,2,which/game,which/game/took
that,1,which/league,which/league/that
play,2,which,which/play
off,1,which/play,which/play/off
european,2,which,which/european
has,1,which/european,which/european/has
have,2,what/games,what/games/have
player,1,did/the,did/the/player
father,1,which,which/father
had,1,which/father,which/father/had
duchess,1,which,which/duchess
was,1,which/duchess,which/duchess/was
image,1,which,which/image
is,1,which/image,which/image/is
recorded,2,who,who/recorded
the,2,who/recorded,who/recorded/the
freddie,2,what/was,what/was/freddie
exited,1,who,who/exited
on,1,who/exited,who/exited/on
day,2,which,which/day
did,1,which/day,which/day/did
born,1,who/is,who/is/born
born,5,who/was,who/was/born
their,2,what/is,what/is/their
event,40,what,what/event
did,21,what/event,what/event/did
voltage,2,which,which/voltage
center,2,which/voltage,which/voltage/center
silvers,2,how/many,how/many/silvers
throw,1,which,which/throw
number,1,which/throw,which/throw/number
s,1,which/first,which/first/s
watts,2,how/many,how/many/watts
has,5,which/class,which/class/has
has,5,which/frequency,which/frequency/has
day,1,which/2nd,which/2nd/day
in,1,what/sport,what/sport/in
pakistan,2,when/did,when/did/pakistan
did,3,what/sport,what/sport/did
was,1,what/college,what/college/was
is,1,which/population,which/population/is
earlier,1,which/year,which/year/earlier
1st,11,which,which/1st
prize,1,which/1st,which/1st/prize
venue,1,when,when/venue
of,1,when/venue,when/venue/of
performer,1,who/was,who/was/performer
course,4,which,which/course
has,1,which/course,which/course/has
deputies,1,what/was,what/was/deputies
has,16,which/result,which/result/has
has,7,which/competition,which/competition/has
week,1,what/highest,what/highest/week
than,8,is/more,is/more/than
at,2,who/won,who/won/at
attendance,1,which/average,which/average/attendance
channels,5,what,what/channels
clock,1,what/highest,what/highest/clock
highest,2,which,which/highest
bus,1,which/highest,which/highest/bus
finish,4,which,which/finish
has,3,which/finish,which/finish/has
windows,2,which,which/windows
system,1,which/windows,which/windows/system
android,1,which,which/android
has,1,which/android,which/android/has
mac,4,which,which/mac
os,2,which/mac,which/mac/os
amigaos,1,which,which/amigaos
has,1,which/amigaos,which/amigaos/has
losing,2,which,which/losing
bonus,1,which/losing,which/losing/bonus
in,2,which,which/in
2004,1,which/in,which/in/2004
in,3,what/is,what/is/in
5,2,which/top,which/top/5
cuts,1,which,which/cuts
made,1,which/cuts,which/cuts/made
is,1,which/events,which/events/is
runs,1,which,which/runs
is,1,which/runs,which/runs/is
has,3,which/match,which/match/has
randy,1,what/is,what/is/randy
in,2,which/track,which/track/in
form,1,what,what/form
factor,1,what/form,what/form/factor
value,1,which,which/value
for,1,which/value,which/value/for
controller,2,which,which/controller
has,1,which/controller,which/controller/has
is,1,which/controller,which/controller/is
interface,1,which,which/interface
uses,1,which/interface,which/interface/uses
blackpool,2,which,which/blackpool
is,1,which/blackpool,which/blackpool/is
preston,1,how/much,how/much/preston
has,1,which/blackpool,which/blackpool/has
on,1,what/tournament,what/tournament/on
lost,1,is,is/lost
re,1,is/lost,is/lost/re
constructor,1,which/winning,which/winning/constructor
winning,2,who/is,who/is/winning
is,1,which/report,which/report/is
vanderbilt,1,when/is,when/is/vanderbilt
is,3,which/event,which/event/is
country,1,when/the,when/the/country
is,3,which/total,which/total/is
bronze,3,which,which/bronze
has,3,which/bronze,which/bronze/has
yard,1,which,which/yard
has,1,which/yard,which/yard/has
completions,2,which,which/completions
has,2,which/completions,which/completions/has
attempts,1,when/has,when/has/attempts
completion,1,which,which/completion
has,1,which/completion,which/completion/has
has,2,what/game,what/game/has
film,29,which,which/film
was,5,which/film,which/film/was
has,1,which/film,which/film/has
notes,5,what,what/notes
does,1,what/notes,what/notes/does
is,5,what/language,what/language/is
had,2,which/race,which/race/had
was,6,what/stadium,what/stadium/was
feature,2,what,what/feature
driving,1,what,what/driving
force,1,what/driving,what/driving/force
driving,2,which,which/driving
force,2,which/driving,which/driving/force
g27,1,which,which/g27
racing,1,which/g27,which/g27/racing
drawn,2,which,which/drawn
is,1,which/drawn,which/drawn/is
against,3,how/many,how/many/against
did,2,what/location,what/location/did
make,1,which,which/make
model,1,which/make,which/make/model
fuel,1,which,which/fuel
propulsion,1,which/fuel,which/fuel/propulsion
numbers,3,which,which/numbers
quantity,2,which/numbers,which/numbers/quantity
is,1,what/class,what/class/is
pinnacle,1,what/is,what/is/pinnacle
town,5,which,which/town
has,2,which/town,which/town/has
duchess,1,who/became,who/became/duchess
with,1,which/season,which/season/with
had,9,what/season,what/season/had
did,16,what/time,what/time/did
holds,8,who,who/holds
the,8,who/holds,who/holds/the
machine,1,what,what/machine
did,1,what/machine,what/machine/did
played,2,what/opponent,what/opponent/played
rich,2,what/was,what/was/rich
has,3,which/points,which/points/has
drawns,2,how/many,how/many/drawns
game,1,which/home,which/home/game
specialists,1,how/many,how/many/specialists
bachelor,1,how/many,how/many/bachelor
has,2,what/source,what/source/has
attack,2,what,what/attack
has,2,what/attack,what/attack/has
gerb,1,what,what/gerb
has,1,what/gerb,what/gerb/has
tie,6,which,which/tie
has,3,which/tie,which/tie/has
that,1,which/tie,which/tie/that
year,4,what/is,what/is/year
earliest,1,what,what/earliest
year,1,what/earliest,what/earliest/year
went,1,what/player,what/player/went
stayed,1,which/number,which/number/stayed
warfare,1,how/many,how/many/warfare
removal,1,which,which/removal
treaty,1,which/removal,which/removal/treaty
stage,1,when/did,when/did/stage
site,1,what/game,what/game/site
attendance,1,what/highest,what/highest/attendance
one,1,who,who/one
bronze,1,who/one,who/one/bronze
bronze,4,who/won,who/won/bronze
of,1,what/week,what/week/of
first,1,how/much,how/much/first
home,2,is,is/home
is,1,which/against,which/against/is
the,1,who/plays,who/plays/the
celebrity,1,what,what/celebrity
finished,1,what/celebrity,what/celebrity/finished
who,1,which/celebrity,which/celebrity/who
locomotive,1,what,what/locomotive
was,1,what/locomotive,what/locomotive/was
owner,1,what,what/owner
delivered,1,what/owner,what/owner/delivered
cmp,1,which,which/cmp
has,1,which/cmp,which/cmp/has
atts,1,how/many,how/many/atts
visitor,3,which,which/visitor
has,3,which/visitor,which/visitor/has
shows,34,what,what/shows
for,12,what/shows,what/shows/for
was,2,what/platform,what/platform/was
3ds,1,what,what/3ds
game,1,what/3ds,what/3ds/game
a,1,is/also,is/also/a
transfer,2,what,what/transfer
window,2,what/transfer,what/transfer/window
has,1,what/ends,what/ends/has
moving,1,what,what/moving
has,1,what/moving,what/moving/has
has,2,which/incumbent,which/incumbent/has
has,2,what/episode,what/episode/has
segment,2,what,what/segment
a,2,what/segment,what/segment/a
res,2,what,what/res
in,5,who/won,who/won/in
features,1,which/competition,which/competition/features
has,9,which/club,which/club/has
hsoted,1,what/venue,what/venue/hsoted
hosted,3,what/venue,what/venue/hosted
does,1,what/title,what/title/does
friendly,1,which,which/friendly
has,1,which/friendly,which/friendly/has
live,5,how/many,how/many/live
crude,1,what/highest,what/highest/crude
crude,1,which/lowest,which/lowest/crude
has,1,which/2011,which/2011/has
2008,5,which,which/2008
has,5,which/2008,which/2008/has
has,2,which/2009,which/2009/has
2012,4,which,which/2012
has,3,which/2012,which/2012/has
had,5,what/date,what/date/had
had,1,which/partner,which/partner/had
had,12,which/date,which/date/had
had,1,which/surface,which/surface/had
s,1,what/day,what/day/s
has,5,which/home,which/home/has
has,7,which/away,which/away/has
awarded,1,which/album,which/album/awarded
act,1,which,which/act
s,1,which/act,which/act/s
band,4,what,what/band
performed,1,what/band,what/band/performed
is,1,which/tournament,which/tournament/is
ullrich,1,what,what/ullrich
of,2,what/university,what/university/of
white,1,what,what/white
hat,1,what/white,what/white/hat
buechel,1,what,what/buechel
manhart,1,what/buechel,what/buechel/manhart
deloria,1,what,what/deloria
boas,1,what/deloria,what/deloria/boas
november,1,which,which/november
has,1,which/november,which/november/has
remixed,3,who,who/remixed
an,1,who/remixed,who/remixed/an
a,1,who/remixed,who/remixed/a
ranked,1,which/position,which/position/ranked
from,1,which,which/from
club,1,which/from,which/from/club
korean,1,which,which/korean
has,1,which/korean,which/korean/has
japanese,4,which,which/japanese
has,1,which/japanese,which/japanese/has
sanskrt,2,which,which/sanskrt
has,2,which/sanskrt,which/sanskrt/has
vietnamese,2,which,which/vietnamese
has,2,which/vietnamese,which/vietnamese/has
had,2,what/round,what/round/had
office,1,what,what/office
is,1,what/office,what/office/is
memeber,3,which,which/memeber
has,3,which/memeber,which/memeber/has
has,6,which/party,which/party/has
that,1,what/joined,what/joined/that
episode,2,what/is,what/is/episode
vii,1,what/is,what/is/vii
xii,1,what/is,what/is/xii
xiii,1,what/is,what/is/xiii
lost,3,which,which/lost
has,2,which/lost,which/lost/has
againsts,1,how/many,how/many/againsts
was,1,what/sport,what/sport/was
is,2,which/home,which/home/is
slađana,1,when/did,when/did/slađana
slađana,1,what/is,what/is/slađana
show,14,which,which/show
is,1,which/show,which/show/is
runs,1,which/show,which/show/runs
draw,1,which,which/draw
has,1,which/draw,which/draw/has
is,1,which/lost,which/lost/is
claimant,1,which,which/claimant
s,1,which/claimant,which/claimant/s
rank,1,which/highest,which/highest/rank
is,2,what/conference,what/conference/is
choreographer,2,what/is,what/is/choreographer
chosen,1,what/is,what/is/chosen
style,1,what/is,what/is/style
couple,1,what/is,what/is/couple
public,1,what,what/public
institution,1,what/public,what/public/institution
season,4,what/is,what/is/season
school,1,what/is,what/is/school
acquisition,1,what/is,what/is/acquisition
set,5,what/is,what/is/set
has,2,which/wins,which/wins/has
draws,5,which,which/draws
has,3,which/draws,which/draws/has
losses,2,which,which/losses
has,1,which/losses,which/losses/has
campeonato,1,how/many,how/many/campeonato
unit,3,which,which/unit
has,1,which/unit,which/unit/has
two,1,where/is,where/is/two
varricchio,2,what/is,what/is/varricchio
authors,1,which,which/authors
have,1,which/authors,which/authors/have
status,1,which,which/status
has,1,which/status,which/status/has
most,1,is/the,is/the/most
gold,1,what/is,what/is/gold
silver,3,what/is,what/is/silver
on,1,who/was,who/was/on
listed,2,who,who/listed
as,1,who/listed,who/listed/as
jack,1,when,when/jack
a,1,when/jack,when/jack/a
on,1,who/listed,who/listed/on
game,2,when/the,when/the/game
record,3,when/the,when/the/record
second,1,who/was,who/was/second
switzerland,1,who/was,who/was/switzerland
men,1,who/won,who/won/men
is,1,which/partner,which/partner/is
has,2,which/opponents,which/opponents/has
outcome,6,which,which/outcome
has,5,which/outcome,which/outcome/has
locomotive,1,which,which/locomotive
entered,1,which/locomotive,which/locomotive/entered
that,1,which/country,which/country/that
provided,1,who,who/provided
lyrics,1,who/provided,who/provided/lyrics
has,13,what,what/has
4,1,what/has,what/has/4
director,1,who/was,who/was/director
giant,3,which,which/giant
slalom,3,which/giant,which/giant/slalom
champion,2,which,which/champion
has,2,which/champion,which/champion/has
winner,1,how/many,how/many/winner
contribution,1,is/the,is/the/contribution
has,1,what/band,what/band/has
channel,8,which,which/channel
comes,1,which/channel,which/channel/comes
part,1,are,are/part
of,1,are/part,are/part/of
motorway,1,which,which/motorway
is,1,which/motorway,which/motorway/is
built,1,which,which/built
by,1,which/built,which/built/by
ordered,2,what,what/ordered
has,2,what/ordered,what/ordered/has
s,2,which/season,which/season/s
2007,2,what,what/2007
number,1,what/2007,what/2007/number
conventional,2,which,which/conventional
plan,2,which/conventional,which/conventional/plan
hmo,1,which,which/hmo
has,1,which/hmo,which/hmo/has
read,2,who,who/read
the,2,who/read,who/read/the
week,1,in/which,in/which/week
week,1,when/the,when/the/week
theme,1,which,which/theme
has,1,which/theme,which/theme/has
choice,1,which/song,which/song/choice
call,2,which,which/call
sign,2,which/call,which/call/sign
chart,2,which,which/chart
peak,2,which/chart,which/chart/peak
catalogue,2,which,which/catalogue
has,1,which/catalogue,which/catalogue/has
has,2,which/track,which/track/has
belarusian,1,what,what/belarusian
has,1,what/belarusian,what/belarusian/has
album,24,what,what/album
had,2,what/album,what/album/had
volume,2,what/is,what/is/volume
had,2,which/event,which/event/had
malaysia,2,how/many,how/many/malaysia
high,4,what/is,what/is/high
location,4,what/is,what/is/location
package,1,what/is,what/is/package
country,9,what/is,what/is/country
hdtv,3,what/is,what/is/hdtv
content,1,what/is,what/is/content
opponents,1,what,what/opponents
in,1,what/opponents,what/opponents/in
royal,3,which,which/royal
house,3,which/royal,which/royal/house
has,8,which/state,which/state/has
average,5,what/is,what/is/average
aberdeen,1,what/is,what/is/aberdeen
motherwell,1,what/is,what/is/motherwell
manner,1,what,what/manner
of,1,what/manner,what/manner/of
amount,1,which,which/amount
of,1,which/amount,which/amount/of
on,11,what/is,what/is/on
dejuan,1,is,is/dejuan
collins,1,is/dejuan,is/dejuan/collins
japanese,4,what,what/japanese
prefecture,1,what/japanese,what/japanese/prefecture
has,3,what/region,what/region/has
held,1,which/venue,which/venue/held
elite,1,what,what/elite
eight,1,what/elite,what/elite/eight
32,1,what/round,what/round/32
actor,5,what,what/actor
was,1,what/actor,what/actor/was
cm,1,which/height,which/height/cm
scored,3,what/country,what/country/scored
a,1,which,which/a
or,1,which/a,which/a/or
pass,1,which,which/pass
rate,1,which/pass,which/pass/rate
is,8,what/place,what/place/is
holes,2,how/many,how/many/holes
the,17,who/held,who/held/the
was,4,what/location,what/location/was
david,1,who/was,who/was/david
is,1,what/percent,what/percent/is
mobile,1,how/many,how/many/mobile
game,1,which/away,which/away/game
game,1,what/away,what/away/game
have,4,what/years,what/years/have
final,3,which,which/final
score,1,which/final,which/final/score
muzzle,2,what/is,what/is/muzzle
source,2,what/is,what/is/source
bullet,1,what/is,what/is/bullet
has,4,which/format,which/format/has
colleges,1,which,which/colleges
have,1,which/colleges,which/colleges/have
week,1,what/average,what/average/week
has,2,what/attendance,what/attendance/has
multi,1,which,which/multi
1,1,which/multi,which/multi/1
socket,1,which,which/socket
has,1,which/socket,which/socket/has
do,5,did/he,did/he/do
jiří,1,did,did/jiří
novák,1,did/jiří,did/jiří/novák
opponent,1,when/the,when/the/opponent
in,2,which/years,which/years/in
entrant,11,which,which/entrant
has,2,which/entrant,which/entrant/has
attendance,4,what/is,what/is/attendance
s,2,what/title,what/title/s
metodija,1,what/is,what/is/metodija
angelarios,1,what/is,what/is/angelarios
matthew,1,what/was,what/was/matthew
08,2,which/2007,which/2007/08
2010,1,which/in,which/in/2010
in,7,what,what/in
2006,1,what/in,what/in/2006
has,4,what/nation,what/nation/has
total,2,what/average,what/average/total
scott,1,what/is,what/is/scott
pick,3,what/number,what/number/pick
set,3,what,what/set
2,3,what/set,what/set/2
they,3,where/did,where/did/they
won,3,which/player,which/player/won
text,4,which,which/text
has,4,which/text,which/text/has
name,1,what/format,what/format/name
bit,2,what,what/bit
depth,2,what/bit,what/bit/depth
size,2,what/frame,what/frame/size
accolade,1,what/is,what/is/accolade
kansas,1,what,what/kansas
vs,1,what/kansas,what/kansas/vs
was,4,what/state,what/state/was
winner,5,what/is,what/is/winner
coat,1,which,which/coat
of,1,which/coat,which/coat/of
draw,2,what,what/draw
did,1,what/draw,what/draw/did
57,1,who/scored,who/scored/57
silver,1,which,which/silver
has,1,which/silver,which/silver/has
final,2,what,what/final
score,1,what/final,what/final/score
opponent,1,which/final,which/final/opponent
had,4,which/entrant,which/entrant/had
regulator,1,what/is,what/is/regulator
reserved,2,what/is,what/is/reserved
administration,1,what/is,what/is/administration
probate,2,what/is,what/is/probate
hardness,1,what,what/hardness
has,1,what/hardness,what/hardness/has
formula,2,which,which/formula
has,2,which/formula,which/formula/has
material,2,which,which/material
has,1,which/material,which/material/has
average,1,what/draw,what/draw/average
as,10,what,what/as
the,5,what/as,what/as/the
canadian,3,what,what/canadian
championship,1,what/canadian,what/canadian/championship
regular,1,which,which/regular
season,1,which/regular,which/regular/season
combined,1,what/is,what/is/combined
outlet,1,what,what/outlet
has,1,what/outlet,what/outlet/has
state,1,is/in,is/in/state
s,1,which/date,which/date/s
was,3,what/catalog,what/catalog/was
was,1,what/region,what/region/was
television,8,which,which/television
service,1,which/television,which/television/service
administrative,1,which,which/administrative
district,1,which/administrative,which/administrative/district
pre,4,which,which/pre
1009,1,which/pre,which/pre/1009
of,1,which/province,which/province/of
is,4,what/tournament,what/tournament/is
was,6,what/place,what/place/was
was,3,what/city,what/city/was
are,2,what/notes,what/notes/are
took,2,what/competition,what/competition/took
round,5,what/is,what/is/round
score,20,what/is,what/is/score
rock,1,what/was,what/was/rock
venue,3,when/the,when/the/venue
held,1,what/venue,what/venue/held
place,7,in/what,in/what/place
t3,1,what/was,what/was/t3
vfb,1,what/is,what/is/vfb
species,1,which,which/species
has,1,which/species,which/species/has
ncbi,1,what,what/ncbi
accession,1,what/ncbi,what/ncbi/accession
species,2,what,what/species
has,2,what/species,what/species/has
teh,1,what/is,what/is/teh
champion,1,when/the,when/the/champion
united,2,when/the,when/the/united
1st,5,what/is,what/is/1st
was,1,which/fleet,which/fleet/was
has,34,which,which/has
a,24,which/has,which/has/a
team,1,which/losing,which/losing/team
was,9,what/round,what/round/was
competition,1,what/away,what/away/competition
team,9,what/is,what/is/team
in,1,what/season,what/season/in
high,6,which,which/high
rebounds,3,which/high,which/high/rebounds
attendance,2,which/location,which/location/attendance
place,4,what/is,what/is/place
money,1,what/is,what/is/money
surface,3,what/is,what/is/surface
tournament,1,what/is,what/is/tournament
score,4,is/the,is/the/score
aircraft,6,what,what/aircraft
has,1,what/aircraft,what/aircraft/has
aircraft,6,which,which/aircraft
has,1,which/aircraft,which/aircraft/has
pref,1,which/first,which/first/pref
