question,answer,table,Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities
"what is the recorded per 100,000 population homicide rate in edmonton?",3.39,"[Table caption:police-reported crime for selected offences, by census metropolitan area, 2016; ] [TAB] | census metropolitan area | homicide | homicide | sexual assault | sexual assault | robbery | robbery | breaking and entering | breaking and entering | motor vehicle theft | motor vehicle theft | [SEP] | census metropolitan area | number | rate | rate | percent change in rate 2015 to 2016 | rate | percent change in rate 2015 to 2016 | rate | percent change in rate 2015 to 2016 | rate | percent change in rate 2015 to 2016 | [SEP] | st. john's | 4 | 1.93 | 69 | -7 | 87 | 20 | 602 | 18 | 118 | 12 | [SEP] | halifax | 12 | 2.82 | 75 | -9 | 45 | -23 | 239 | -16 | 90 | -5 | [SEP] | moncton | 1 | 0.64 | 43 | -2 | 64 | 62 | 561 | -3 | 147 | 13 | [SEP] | saint john | 3 | 2.35 | 41 | -46 | 48 | 48 | 231 | -8 | 58 | -15 | [SEP] | saguenay | 2 | 1.20 | 53 | -10 | 16 | -15 | 338 | 0 | 117 | -9 | [SEP] | quebec | 1 | 0.12 | 47 | 3 | 19 | 13 | 319 | -1 | 71 | -2 | [SEP] | sherbrooke | 2 | 1.00 | 58 | 15 | 19 | -23 | 286 | -12 | 54 | -2 | [SEP] | trois-rivieres | 0 | 0.00 | 54 | 1 | 12 | -66 | 336 | -11 | 85 | -25 | [SEP] | montreal | 42 | 1.02 | 46 | 11 | 74 | -10 | 386 | -5 | 168 | -11 | [SEP] | gatineau | 3 | 0.91 | 48 | 9 | 32 | 44 | 320 | 5 | 71 | -28 | [SEP] | ottawa | 24 | 2.37 | 59 | 14 | 50 | -13 | 270 | 16 | 88 | -1 | [SEP] | kingston | 0 | 0.00 | 60 | -7 | 18 | -17 | 395 | 19 | 72 | -9 | [SEP] | peterborough | 2 | 1.62 | 97 | 10 | 41 | -15 | 304 | -25 | 57 | -1 | [SEP] | toronto | 96 | 1.55 | 44 | -2 | 83 | 10 | 205 | -9 | 113 | 4 | [SEP] | hamilton | 12 | 1.58 | 64 | 6 | 70 | 21 | 308 | 5 | 217 | -1 | [SEP] | st. catharines-niagara | 1 | 0.22 | 53 | -7 | 31 | -11 | 373 | -11 | 160 | 5 | [SEP] | kitchener-cambridge-waterloo | 6 | 1.09 | 51 | -12 | 51 | 6 | 358 | -11 | 137 | -3 | [SEP] | brantford | 4 | 2.73 | 68 | -12 | 68 | 14 | 588 | 12 | 454 | -2 | [SEP] | guelph | 1 | 0.76 | 64 | 33 | 22 | -8 | 347 | 16 | 119 | 49 | [SEP] | london | 8 | 1.55 | 46 | 10 | 55 | 4 | 389 | 9 | 195 | -12 | [SEP] | windsor | 3 | 0.90 | 52 | 15 | 61 | 10 | 506 | 23 | 199 | 14 | [SEP] | barrie | 2 | 0.92 | 54 | 14 | 32 | 28 | 200 | -8 | 68 | -12 | [SEP] | greater sudbury | 0 | 0.00 | 61 | 1 | 48 | 10 | 454 | 20 | 101 | -17 | [SEP] | thunder bay | 8 | 6.64 | 85 | 7 | 118 | -21 | 492 | 18 | 158 | 1 | [SEP] | winnipeg | 25 | 3.14 | 98 | 14 | 229 | 27 | 682 | 14 | 315 | 3 | [SEP] | regina | 8 | 3.23 | 59 | -4 | 118 | 18 | 760 | 7 | 523 | 17 | [SEP] | saskatoon | 10 | 3.12 | 95 | 44 | 116 | -11 | 791 | -3 | 453 | 16 | [SEP] | calgary | 33 | 2.24 | 44 | -14 | 62 | -24 | 576 | -10 | 535 | 0 | [SEP] | edmonton | 47 | 3.39 | 72 | -8 | 103 | -8 | 582 | -4 | 483 | 10 | [SEP] | kelowna | 5 | 2.54 | 34 | -18 | 41 | -28 | 620 | -3 | 316 | -11 | [SEP] | abbotsford-mission | 6 | 3.22 | 42 | 0 | 64 | -36 | 577 | -19 | 493 | -1 | [SEP] | vancouver | 41 | 1.61 | 44 | 2 | 78 | -24 | 678 | -1 | 312 | -7 | [SEP] | victoria | 1 | 0.27 | 64 | 7 | 37 | -15 | 326 | -20 | 108 | 0 | [SEP] | canada | 611 | 1.68 | 58 | -1 | 60 | -3 | 439 | -2 | 217 | -1 |",Society,0.2287,Culture,0.2078,Art,0.1124,"100,000, 3.39"
what is the percentage of cases took 90 days or less in the rj process?,25.0,"[Table caption:characteristics of restorative justice processes for youth in restorative justice in nova scotia in 2009/2010; ] [TAB] | characteristics of youth who participated in restorative justice in 2009 | male | female | total | [SEP] | characteristics of youth who participated in restorative justice in 2009 | percent | percent | percent | [SEP] | referral source |  |  |  | [SEP] | police | 54 | 64 | 57 | [SEP] | crown prosecution | 39 | 32 | 37 | [SEP] | courts | 5 | 3 | 4 | [SEP] | corrections | 2 | 1 | 2 | [SEP] | total | 100 | 100 | 100 | [SEP] | status of restorative justice file |  |  |  | [SEP] | referred, not accepted | 6 | 3 | 5 | [SEP] | accepted, successful in all or some part | 89 | 91 | 90 | [SEP] | accepted, not successful or success unknown | 5 | 6 | 6 | [SEP] | total | 100 | 100 | 100 | [SEP] | length of restorative justice process |  |  |  | [SEP] | 90 days or less | 22 | 32 | 25 | [SEP] | 91 to 180 days | 48 | 50 | 49 | [SEP] | 181 to 365 days | 27 | 16 | 23 | [SEP] | over 365 days | 3 | 3 | 3 | [SEP] | total | 100 | 100 | 100 | [SEP] | number of recontacts with restorative justice |  |  |  | [SEP] | 0 | 82 | 87 | 84 | [SEP] | 1 recontact | 16 | 11 | 14 | [SEP] | 2 or more recontacts | 2 | 2 | 2 | [SEP] | total | 100 | 100 | 100 | [SEP] | time to first recontact |  |  |  | [SEP] | 90 days or less | 8 | 14 | 10 | [SEP] | 91 to 180 days | 20 | 14 | 19 | [SEP] | 181 to 365 days | 20 | 19 | 20 | [SEP] | over 365 days | 51 | 53 | 51 | [SEP] | total | 100 | 100 | 100 | [SEP] | recontact by type of offence |  |  |  | [SEP] | violent crime | x | x | 21 | [SEP] | property crime | x | x | 15 | [SEP] | other crime and federal statutes | x | x | 15 | [SEP] | total | x | x | 16 | [SEP] | change in seriousness of offence |  |  |  | [SEP] | less serious | x | x | 35 | [SEP] | no change | x | x | 23 | [SEP] | more serious | x | x | 42 | [SEP] | total | 100 | 100 | 100 |",Healthcare and Medicine,0.53,Society,0.3098,Culture,0.2816,"90 days, 25.0"
how many goals did bowditch make in 6 seasons till 2016-17 with the club milton keynes dons?,48.0,[Table caption:career statistics; ] [TAB] | club | season | league | league | league | fa cup | fa cup | league cup | league cup | other | other | total | total | [SEP] | club | season | division | apps | goals | apps | goals | apps | goals | apps | goals | apps | goals | [SEP] | ipswich town | 2002-03 | first division | 4 | 0 | 0 | 0 | 0 | 0 | - | - | 4 | 0 | [SEP] | ipswich town | 2003-04 | first division | 16 | 4 | 1 | 0 | 2 | 1 | 1 | 0 | 20 | 5 | [SEP] | ipswich town | 2004-05 | championship | 21 | 3 | 0 | 0 | 2 | 0 | 1 | 0 | 24 | 3 | [SEP] | ipswich town | 2005-06 | championship | 21 | 0 | 0 | 0 | 1 | 0 | - | - | 22 | 0 | [SEP] | ipswich town | 2006-07 | championship | 9 | 1 | 0 | 0 | 1 | 0 | - | - | 10 | 1 | [SEP] | ipswich town | 2007-08 | championship | 0 | 0 | 0 | 0 | 0 | 0 | - | - | 0 | 0 | [SEP] | ipswich town | 2008-09 | championship | 1 | 0 | 0 | 0 | 1 | 0 | - | - | 2 | 0 | [SEP] | ipswich town | total | total | 72 | 8 | 1 | 0 | 7 | 1 | 2 | 0 | 82 | 9 | [SEP] | burnley | 2004-05 | championship | 10 | 1 | 0 | 0 | 0 | 0 | - | - | 10 | 1 | [SEP] | wycombe wanderers | 2005-06 | league two | 11 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 11 | 1 | [SEP] | brighton & hove albion | 2006-07 | league one | 3 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 4 | 1 | [SEP] | brighton & hove albion | 2007-08 | league one | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | [SEP] | northampton town | 2007-08 | league one | 10 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 10 | 2 | [SEP] | brentford | 2008-09 | league two | 9 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 9 | 2 | [SEP] | brentford | total | total | 48 | 7 | 0 | 0 | 0 | 0 | 1 | 0 | 49 | 7 | [SEP] | yeovil town | 2009-10 | league one | 30 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 30 | 10 | [SEP] | yeovil town | 2010-11 | league one | 41 | 15 | 2 | 0 | 1 | 0 | 1 | 0 | 45 | 15 | [SEP] | yeovil town | total | total | 71 | 25 | 2 | 0 | 1 | 0 | 1 | 0 | 75 | 25 | [SEP] | milton keynes dons | 2011-12 | league one | 41 | 12 | 4 | 3 | 3 | 0 | 3 | 0 | 51 | 15 | [SEP] | milton keynes dons | 2012-13 | league one | 39 | 8 | 5 | 3 | 3 | 1 | 1 | 0 | 48 | 12 | [SEP] | milton keynes dons | 2013-14 | league one | 12 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 13 | 1 | [SEP] | milton keynes dons | 2014-15 | league one | 35 | 7 | 1 | 0 | 3 | 0 | 1 | 0 | 40 | 7 | [SEP] | milton keynes dons | 2015-16 | championship | 37 | 4 | 3 | 0 | 0 | 0 | - | - | 40 | 4 | [SEP] | milton keynes dons | 2016-17 | league one | 28 | 5 | 3 | 1 | 2 | 3 | 2 | 0 | 35 | 9 | [SEP] | milton keynes dons | total | total | 192 | 37 | 17 | 7 | 11 | 4 | 7 | 0 | 227 | 48 | [SEP] | northampton town | 2017-18 | league one | 11 | 0 | 2 | 0 | 0 | 0 | 3 | 0 | 16 | 0 | [SEP] | northampton town | 2018-19 | league two | 20 | 3 | 0 | 0 | 1 | 0 | 3 | 0 | 24 | 3 | [SEP] | northampton town | total | total | 31 | 3 | 2 | 0 | 1 | 0 | 6 | 0 | 40 | 3 | [SEP] | stevenage | 2017-18 | league two | 5 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | [SEP] | career total | career total | career total | 419 | 82 | 22 | 7 | 20 | 5 | 17 | 0 | 478 | 94 |,Sports,0.9553,Business and Economic,0.2468,Culture,0.0986,"48.0, 6 seasons, 2016-17"
what is the rate of property crime in 2015?,3218.0,"[Table caption:police-reported crime rate, canada, 2006 to 2016; ] [TAB] | year | total crime | total crime | total crime | violent crime | violent crime | violent crime | property crime | property crime | property crime | other criminal code offences | other criminal code offences | other criminal code offences | [SEP] | year | number | rate | percent change in rate from previous year | number | rate | percent change in rate from previous year | number | rate | percent change in rate from previous year | number | rate | percent change in rate from previous year | [SEP] | 2006 | 2,359,804 | 7,245 | -1 | 451,652 | 1,387 | 0 | 1,566,315 | 4,809 | -2 | 341,837 | 1,050 | 0 | [SEP] | 2007 | 2,271,754 | 6,908 | -5 | 445,252 | 1,354 | -2 | 1,488,103 | 4,525 | -6 | 338,399 | 1,029 | -2 | [SEP] | 2008 | 2,204,479 | 6,631 | -4 | 443,608 | 1,334 | -1 | 1,415,572 | 4,258 | -6 | 345,299 | 1,039 | 1 | [SEP] | 2009 | 2,172,809 | 6,461 | -3 | 444,533 | 1,322 | -1 | 1,386,184 | 4,122 | -3 | 342,092 | 1,017 | -2 | [SEP] | 2010 | 2,094,338 | 6,159 | -5 | 439,220 | 1,292 | -2 | 1,305,150 | 3,838 | -7 | 349,968 | 1,029 | 1 | [SEP] | 2011 | 1,984,790 | 5,779 | -6 | 424,338 | 1,236 | -4 | 1,214,312 | 3,536 | -8 | 346,140 | 1,008 | -2 | [SEP] | 2012 | 1,957,227 | 5,632 | -3 | 416,147 | 1,198 | -3 | 1,193,600 | 3,435 | -3 | 347,480 | 1,000 | -1 | [SEP] | 2013 | 1,826,431 | 5,195 | -8 | 384,385 | 1,093 | -9 | 1,106,509 | 3,147 | -8 | 335,537 | 954 | -5 | [SEP] | 2014 | 1,793,612 | 5,046 | -3 | 370,050 | 1,041 | -5 | 1,098,399 | 3,090 | -2 | 325,163 | 915 | -4 | [SEP] | 2015r | 1,867,833 | 5,210 | 3 | 382,115 | 1,066 | 2 | 1,153,700 | 3,218 | 4 | 332,018 | 926 | 1 | [SEP] | 2016 | 1,895,546 | 5,224 | 0 | 381,594 | 1,052 | -1 | 1,163,647 | 3,207 | 0 | 350,305 | 965 | 4 | [SEP] | percent change 2006 to 2016 | .. | -28 | .. | .. | -24 | .. | .. | -33 | .. | .. | -8 | .. |",Society,0.1125,Food and Beverage,0.0062,Business and Economic,0.0039,"2015, 3218.0"
"in 2016, which club did narese join and remain with the club for two seasons?",juventud unida,[Table caption:career statistics; ] [TAB] | club | season | league | league | league | cup | cup | league cup | league cup | continental | continental | other | other | [SEP] | club | season | division | apps | goals | apps | goals | apps | goals | apps | goals | apps | goals | [SEP] | san martin | 2008-09 | primera division | 1 | 0 | 0 | 0 | - | - | 0 | 0 | 1 | 0 | [SEP] | san martin | 2009-10 | primera b nacional | 1 | 0 | 0 | 0 | - | - | 0 | 0 | 1 | 0 | [SEP] | san martin | 2010-11 | primera b nacional | 3 | 0 | 0 | 0 | - | - | 0 | 0 | 3 | 0 | [SEP] | san martin | 2011-12 | torneo argentino a | 0 | 0 | 0 | 0 | - | - | 0 | 0 | 0 | 0 | [SEP] | san martin | total | total | 5 | 0 | 0 | 0 | - | - | 0 | 0 | 5 | 0 | [SEP] | san jorge | 2011-12 | torneo argentino b | 31 | 1 | 0 | 0 | - | - | 2 | 2 | 33 | 3 | [SEP] | san jorge | 2012-13 | torneo argentino a | 30 | 6 | 1 | 0 | - | - | 2 | 0 | 33 | 6 | [SEP] | san jorge | total | total | 61 | 7 | 1 | 0 | - | - | 4 | 2 | 66 | 9 | [SEP] | guarani antonio franco | 2013-14 | torneo argentino a | 24 | 3 | 0 | 0 | - | - | 6 | 1 | 30 | 4 | [SEP] | guarani antonio franco | 2014 | primera b nacional | 20 | 1 | 0 | 0 | - | - | 0 | 0 | 20 | 1 | [SEP] | guarani antonio franco | 2015 | primera b nacional | 35 | 3 | 0 | 0 | - | - | 0 | 0 | 35 | 3 | [SEP] | guarani antonio franco | total | total | 79 | 7 | 0 | 0 | - | - | 6 | 1 | 85 | 8 | [SEP] | juventud unida | 2016 | primera b nacional | 7 | 0 | 0 | 0 | - | - | 0 | 0 | 7 | 0 | [SEP] | juventud unida | 2016-17 | primera b nacional | 39 | 1 | 3 | 0 | - | - | 0 | 0 | 42 | 1 | [SEP] | juventud unida | total | total | 46 | 1 | 3 | 0 | - | - | 0 | 0 | 49 | 1 | [SEP] | agropecuario | 2017-18 | primera b nacional | 23 | 5 | 0 | 0 | - | - | 3 | 0 | 26 | 5 | [SEP] | agropecuario | 2018-19 | primera b nacional | 8 | 0 | 1 | 0 | - | - | 0 | 0 | 9 | 0 | [SEP] | agropecuario | total | total | 31 | 5 | 1 | 0 | - | - | 3 | 0 | 35 | 5 | [SEP] | career total | career total | career total | 222 | 20 | 5 | 0 | - | - | 13 | 3 | 240 | 23 |,Business and Economic,0.5039,Culture,0.441,Sports,0.3461,"two seasons, narese, 2016"
how many kickoff yards did maryland's torrey smith have?,1089.0,"[Table caption:special teams; ] [TAB] | name | punt returns | punt returns | punt returns | punt returns | punt returns | kick returns | kick returns | kick returns | kick returns | kick returns | [SEP] | name | no | yds | avg | td | long | no | yds | avg | td | long | [SEP] | torrey smith | 0 | - | - | - | - | 42 | 1,089 | 25.9 | 1 | 99 | [SEP] | kenny tate | 0 | - | - | - | - | 6 | 84 | 14.0 | 0 | 17 | [SEP] | dan gronkowski | 0 | - | - | - | - | 2 | 12 | 6.0 | 0 | 8 | [SEP] | terrell skinner | 0 | - | - | - | - | 1 | 15 | 15.0 | 0 | 15 | [SEP] | danny oquendo | 20 | 104 | 5.2 | 0 | 15 | 1 | 1 | 1.0 | 0 | 1 | [SEP] | cory jackson | 0 | - | - | - | - | 1 | 9 | 9.0 | 0 | 9 | [SEP] | morgan green | 0 | - | - | - | - | 1 | 2 | 2.0 | 0 | 2 | [SEP] | tony logan | 6 | 49 | 8.2 | 0 | 15 | 0 | - | - | - | - | [SEP] | adrian moten | 1 | 21 | 21.0 | 0 | 0 | 0 | - | - | - | - | [SEP] | dominique herald | 1 | 15 | 15.0 | 0 | 15 | 0 | - | - | - | - | [SEP] | total | 28 | 189 | 6.8 | 0 | 45 | 54 | 1,212 | 22.4 | 1 | 99 |",Sports,0.9468,Science and Technology,0.1853,Business and Economic,0.1812,"maryland, 1089.0"
which cma recorded the highest homicide rate among the cmas in 2017?,thunder bay,"[Table caption:police-reported crime for selected offences, by census metropolitan area, 2017; ] [TAB] | census metropolitan area | homicide | homicide | sexual assault | sexual assault | robbery | robbery | breaking and entering | breaking and entering | motor vehicle theft | motor vehicle theft | [SEP] | census metropolitan area | number | rate | rate | percent change in rate 2016 to 2017 | rate | percent change in rate 2016 to 2017 | rate | percent change in rate 2016 to 2017 | rate | percent change in rate 2016 to 2017 | [SEP] | st. john's | 3 | 1.44 | 67 | -4 | 63 | -27 | 381 | -37 | 116 | -1 | [SEP] | halifax | 8 | 1.85 | 95 | 20 | 54 | 17 | 264 | 10 | 78 | -13 | [SEP] | moncton | 1 | 0.63 | 55 | 28 | 40 | -37 | 682 | 21 | 222 | 50 | [SEP] | saint john | 1 | 0.78 | 94 | 5 | 51 | 1 | 252 | 9 | 71 | 23 | [SEP] | saguenay | 0 | 0.00 | 59 | 9 | 22 | 34 | 347 | 2 | 154 | 31 | [SEP] | quebec | 10 | 1.24 | 55 | 17 | 23 | 24 | 286 | -10 | 66 | -6 | [SEP] | sherbrooke | 1 | 0 | 72 | 21 | 20 | 7 | 318 | 11 | 65 | 22 | [SEP] | trois-rivieres | 1 | 0.63 | 58 | 9 | 20 | 54 | 352 | 5 | 117 | 37 | [SEP] | montreal | 46 | 1.11 | 58 | 26 | 70 | -6 | 363 | -6 | 184 | 10 | [SEP] | gatineau | 1 | 0 | 58 | 26 | 30 | -5 | 279 | -13 | 64 | -10 | [SEP] | ottawa | 14 | 1.35 | 64 | 8 | 58 | 15 | 246 | -9 | 93 | 6 | [SEP] | kingston | 1 | 0.59 | 97 | 56 | 22 | 18 | 336 | -15 | 82 | 14 | [SEP] | peterborough | 1 | 0.80 | 99 | 3 | 42 | 1 | 285 | -5 | 79 | 40 | [SEP] | toronto | 92 | 1.47 | 48 | 7 | 89 | 7 | 215 | 4 | 128 | 12 | [SEP] | hamilton | 11 | 1.43 | 74 | 17 | 88 | 27 | 321 | 4 | 271 | 25 | [SEP] | st. catharines-niagara | 3 | 0.65 | 59 | 11 | 35 | 12 | 405 | 9 | 168 | 5 | [SEP] | kitchener-cambridge-waterloo | 5 | 0.89 | 74 | 44 | 62 | 24 | 427 | 20 | 170 | 24 | [SEP] | brantford | 5 | 3.36 | 104 | 56 | 63 | -7 | 574 | -2 | 431 | -6 | [SEP] | guelph | 1 | 0.74 | 92 | 43 | 31 | 42 | 443 | 26 | 128 | 9 | [SEP] | london | 7 | 1.33 | 66 | 42 | 53 | -4 | 407 | 5 | 286 | 47 | [SEP] | windsor | 3 | 0.89 | 62 | 20 | 76 | 23 | 521 | 3 | 226 | 13 | [SEP] | barrie | 5 | 2.25 | 55 | -3 | 37 | 22 | 197 | -1 | 67 | -1 | [SEP] | greater sudbury | 1 | 0.61 | 77 | 24 | 51 | 6 | 573 | 26 | 136 | 36 | [SEP] | thunder bay | 7 | 5.80 | 93 | 6 | 127 | 7 | 414 | -16 | 155 | -1 | [SEP] | winnipeg | 24 | 2.96 | 98 | -1 | 258 | 13 | 665 | -3 | 308 | -2 | [SEP] | regina | 8 | 3.15 | 69 | 7 | 83 | -34 | 704 | -8 | 442 | -15 | [SEP] | saskatoon | 5 | 1.52 | 94 | 0 | 132 | 14 | 822 | 4 | 389 | -14 | [SEP] | calgary | 31 | 2.07 | 55 | 13 | 77 | 17 | 660 | 10 | 531 | -5 | [SEP] | edmonton | 49 | 3.49 | 80 | 10 | 104 | 1 | 639 | 9 | 499 | 3 | [SEP] | kelowna | 6 | 2.99 | 36 | 8 | 31 | -24 | 591 | -4 | 356 | 13 | [SEP] | abbotsford-mission | 9 | 4.72 | 55 | 31 | 44 | -30 | 527 | -7 | 469 | -4 | [SEP] | vancouver | 52 | 2.02 | 49 | 17 | 66 | -16 | 582 | -15 | 315 | 1 | [SEP] | victoria | 5 | 1.32 | 79 | 28 | 29 | -22 | 292 | -11 | 126 | 18 | [SEP] | canada | 660 | 1.80 | 67 | 13 | 62 | 2 | 434 | -2 | 232 | 6 |",Culture,0.4312,Healthcare and Medicine,0.2705,Warfare and Conflict,0.2558,2017
what fraction of the crop area devoted to garlic was in quebec?,0.263706,"[Table caption:other crop area totals, canada and provinces, 2016; ] [TAB] | other crop | canada | newfoundland and labrador | prince edward island | nova scotia | new brunswick | quebec | ontario | manitoba | saskatchewan | alberta | british columbia | [SEP] | other crop | acres | acres | acres | acres | acres | acres | acres | acres | acres | acres | acres | [SEP] | fenugreek | 2,809 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2,809 | 0 | 0 | [SEP] | spelt | 15,958 | 0 | 68 | 0 | 0 | 3,435 | 7,365 | 1,122 | 2,851 | 818 | 299 | [SEP] | quinoa | 11,868 | 0 | 0 | 0 | 0 | x | 352 | 905 | 9,525 | 1,042 | x | [SEP] | camelina | 2,703 | 0 | 0 | x | 0 | 246 | x | x | 2,211 | x | 0 | [SEP] | hemp | 45,245 | 0 | x | 0 | x | 2,149 | 732 | 12,929 | 13,329 | 15,689 | 296 | [SEP] | hops | 789 | 0 | x | 22 | 13 | 101 | 175 | x | x | 3 | 454 | [SEP] | gooseberries | 42 | 0 | 1 | 2 | 2 | 24 | 8 | 1 | x | x | 1 | [SEP] | currants | 427 | 5 | 30 | 10 | 3 | 142 | 73 | 5 | 46 | 62 | 52 | [SEP] | sea buckthorn | 520 | x | 0 | x | 0 | 365 | 30 | 42 | 41 | 31 | 8 | [SEP] | kiwi | 58 | 0 | x | x | 0 | x | 12 | 0 | 0 | 0 | 40 | [SEP] | haskaps and other berries | 1,761 | 2 | 12 | 195 | 74 | 655 | 148 | 26 | 341 | 169 | 139 | [SEP] | garlic | 2,207 | 5 | 6 | 31 | 17 | 582 | 976 | 18 | 18 | 69 | 485 | [SEP] | kale | 448 | 1 | 1 | 20 | 2 | 19 | 328 | 16 | 2 | 4 | 58 | [SEP] | sweet potato | 1,776 | 0 | 4 | x | x | 3 | 1,755 | 2 | x | 0 | 5 | [SEP] | chinese vegetables | 2,356 | x | 0 | 0 | x | 6 | 1,953 | x | 0 | 1 | 395 |",Business and Economic,0.3963,Culture,0.3022,Society,0.1373,0.263706
what was the percent of incidents involving aboriginal victims took place in a commercial/institutional establishment?,41.0,"[Table caption:violent victimization incidents (excluding spousal violence) reported by canadians, by aboriginal people and non-aboriginal people, and selected characteristics of the incident, provinces and territories, 2014; ] [TAB] | characteristics | aboriginal people | non-aboriginal people | [SEP] | characteristics | percent | percent | [SEP] | number of offenders |  |  | [SEP] | one | 71 | 75 | [SEP] | two | f | 7 | [SEP] | three or more | f | 11 | [SEP] | don't know/not stated | f | 7 | [SEP] | sex of offender |  |  | [SEP] | male | 91 | 86 | [SEP] | female | 9 | 14 | [SEP] | age of the offender |  |  | [SEP] | less than 25 | 47 | 36 | [SEP] | 25 to 44 | 43 | 39 | [SEP] | 45 and over | f | 22 | [SEP] | relationship of offender to the victim |  |  | [SEP] | person known to the victim | 55 | 43 | [SEP] | stranger | 39 | 48 | [SEP] | other | f | 8 | [SEP] | location of the incident |  |  | [SEP] | private residence of the victim or other private residence | 48 | 33 | [SEP] | commercial or institutional establishment | 41 | 39 | [SEP] | street or other public place | 11 | 22 | [SEP] | other | f | 2 | [SEP] | presence of a weapon |  |  | [SEP] | yes | 23 | 26 | [SEP] | no | 75 | 69 | [SEP] | don't know/not stated | f | 6 | [SEP] | incident related to the offender's alcohol or drug use |  |  | [SEP] | yes | 69 | 52 | [SEP] | no | 26 | 37 | [SEP] | don't know/not stated | f | 11 | [SEP] | caused physical injuries |  |  | [SEP] | yes | 17 | 20 | [SEP] | no | 83 | 80 |",Business and Economic,0.3911,Healthcare and Medicine,0.2722,Food and Beverage,0.1548,41.0
how many log points of higher enarings in the years after the base year are associated with one year of canadian work experience before the base year in 1991 cohort?,0.03,"[Table caption:regression models comparing earnings between canadian-educated immigrant men and canadian-born men with a university degree, 1991 and 2006 cohorts; ] [TAB] | | 1991 cohort | 1991 cohort | 1991 cohort | 2006 cohort | 2006 cohort | 2006 cohort | [SEP] |  | model 1 | model 2 | model 3 | model 1 | model 2 | model 3 | [SEP] |  | coefficient | coefficient | coefficient | coefficient | coefficient | coefficient | [SEP] | canadian-educated immigrants | -0.760 | -0.549 | -0.245 | -0.660 | -0.324 | 0.003 | [SEP] | years since the base year | 0.074 | 0.066 | 0.068 | 0.101 | 0.089 | 0.098 | [SEP] | squared years since the base year | -0.002 | -0.002 | -0.002 | -0.007 | -0.006 | -0.007 | [SEP] | canadian-educated immigrants interacted with years since the base year | 0.071 | 0.056 | 0.062 | 0.105 | 0.032 | 0.055 | [SEP] | canadian-educated immigrants interacted with squared years since the base year | -0.003 | -0.002 | -0.002 | -0.007 | -0.002 | -0.004 | [SEP] | age in the base year | .. | 0.183 | -0.070 | .. | 0.103 | -0.105 | [SEP] | age squared | .. | -0.003 | 0.001 | .. | -0.001 | 0.002 | [SEP] | graduate degrees | .. | 0.227 | 0.218 | .. | 0.144 | 0.149 | [SEP] | months of study in a year | .. | -0.180 | -0.157 | .. | -0.101 | -0.084 | [SEP] | french | .. | 0.006 | 0.007 | .. | 0.099 | 0.059 | [SEP] | other languages | .. | -0.273 | -0.211 | .. | -0.379 | -0.207 | [SEP] | visible minorities | .. | -0.193 | -0.036 | .. | -0.125 | -0.057 | [SEP] | atlantic region | .. | -0.193 | -0.122 | .. | -0.107 | -0.051 | [SEP] | quebec | .. | -0.219 | -0.129 | .. | -0.287 | -0.143 | [SEP] | manitoba and saskatchewan | .. | -0.247 | -0.186 | .. | -0.040 | 0.004 | [SEP] | alberta | .. | -0.017 | 0.005 | .. | 0.216 | 0.194 | [SEP] | british columbia | .. | -0.207 | -0.157 | .. | -0.116 | -0.081 | [SEP] | regional unemployment rate | .. | -0.010 | -0.009 | .. | -0.007 | -0.014 | [SEP] | low prior earnings | .. | .. | 0.039 | .. | .. | 0.181 | [SEP] | medium prior earnings | .. | .. | 0.241 | .. | .. | 0.559 | [SEP] | high prior earnings | .. | .. | 0.800 | .. | .. | 1.130 | [SEP] | years of prior canadian work experience | .. | .. | 0.030 | .. | .. | 0.010 | [SEP] | intercept | 10.758 | 8.099 | 11.438 | 10.807 | 9.114 | 11.631 |",Culture,0.6736,Business and Economic,0.6039,Art,0.5088,"one year, the base year, 1991, canadian, the years, 0.03"
