Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities,Original Question
Media and Entertainment,0.4973,Political,0.0058,Culture,0.003,Baskervilles\,The Sign of Four and The Hound of the Baskervilles\
Media and Entertainment,0.496,Society,0.4219,Culture,0.3886,"the Academy Award for Best Actress, first, three",for which she received the first of what would be three nominations for the Academy Award for Best Actress; the following year\
Culture,0.9363,Political,0.8802,Art,0.7667,"2269–2255, Manishtushu, Rimush",Rimush was succeeded by Manishtushu (2269–2255 BC).
Culture,0.7249,Science and Technology,0.348,Society,0.3014,"BBC Radio 4, 1035, 720",720 kHz (BBC Radio 4) and 1035 kHz.
Media and Entertainment,0.9903,Art,0.0943,Warfare and Conflict,0.0757,"first, 2018\, Boy Story's",Boy Story's first album was Enough released in 2018\
Culture,0.5018,Science and Technology,0.45,Society,0.3252,"256, RAM",20 GB hard drive and 256 MB of RAM.
Political,0.9595,Culture,0.7936,Society,0.607,"Republicans, Democrats",while 66 Republicans and 95 Democrats voted against it.
Culture,0.8374,Political,0.5637,Science and Technology,0.562,"2010, Kampala",2010 in Kampala.
Media and Entertainment,0.8674,Political,0.1454,Culture,0.1451,"the Best Cinematography, 36th, Cao",Cao won the Best Cinematography at the 36th Hong Kong Film Awards for his work in See You Tomorrow\
Political,0.5166,Art,0.435,Culture,0.2366,"906, four",906 votes across four constituencies.
Sports,0.6267,Culture,0.5989,Society,0.3351,"only five, Herbert Sutcliffe, one",Herbert Sutcliffe is one of only five batsmen to finish with an average above 60.
Environmental,0.7202,Society,0.1914,Business and Economic,0.1903,"55.9, 1000",with 55.9 Plug-in cars per 1000 people.
Education,0.9836,Society,0.0834,Religion and Philosophy,0.0255,"Nitish Jain, the Outstanding Contribution to Education Award",Nitish Jain won the Outstanding Contribution to Education Award by the CMO Asia\
Media and Entertainment,0.9709,Culture,0.4893,Political,0.1011,"Sisters, Japan",Scandal represented Japan with Sisters in the ABU TV Song Festival.
Media and Entertainment,0.8964,Culture,0.5881,Political,0.5284,"Veronica Gayley, Holmes & yo-yo, Santa Barbara, 1976, Maxine Moon, 1984",Santa Barbara as Veronica Gayley in 1984 and in Holmes & yo-yo as Maxine Moon in 1976.
Sports,0.9619,Culture,0.8324,Science and Technology,0.6478,"South Korea, 2018, Brazil, Rio de Janeiro",South Korea and the 21st WCSS was held in Rio de Janeiro (Brazil) in 2018.
Culture,0.4884,Society,0.2796,Art,0.1885,311 square kilometers,311 square kilometers (3\
Warfare and Conflict,0.5134,Political,0.1114,Culture,0.1082,"Mil, five",five Mil Mi-24\
Media and Entertainment,0.4212,Culture,0.0281,Art,0.0032,Fairytale of New York,preceded by the single Fairytale of New York.
Business and Economic,0.3985,Culture,0.3456,Healthcare and Medicine,0.3314,Dixon\,well ahead of Dixon\
Culture,0.6768,Business and Economic,0.4933,Art,0.4401,"8400–8499, 3400–3409",8400–8499 and 3400–3409.
Sports,0.519,Business and Economic,0.5034,Culture,0.281,"2010, Center, Broomfield\",2010 at the 1stBank Center in Broomfield\
Media and Entertainment,0.837,Science and Technology,0.2549,Art,0.2184,"Digital Veil, 2011, 2008",Midheaven (2008) and Digital Veil (2011).
Culture,0.6736,Society,0.6083,Science and Technology,0.5693,2013\,2013\
Culture,0.4673,Art,0.4103,Healthcare and Medicine,0.3721,"AOC 121, AOC 135",AOC 121 and AOC 135.
Sports,0.126,Culture,0.0844,Society,0.0755,"469, Matthew Ahn, Subway Challenge",Matthew Ahn beat his previous record while completing the 469-station Subway Challenge.
Culture,0.5464,Science and Technology,0.4005,Art,0.3856,59\,with 59\
Culture,0.7305,Business and Economic,0.6284,Society,0.6043,"000, 50\",000 went to the champions while the runners-up received US$50\
Media and Entertainment,0.1047,Political,0.0743,Warfare and Conflict,0.0356,"two, 2011)\",two songs on the Planet Pit album (2011)\
Sports,0.9674,Culture,0.8437,Political,0.3853,"Italy, 2013\, 22–21, France",Italy defeated France by 22–21 and in 2013\
Culture,0.5488,Art,0.4544,Warfare and Conflict,0.4219,Muralitharan,until it was broken by Muralitharan.
Media and Entertainment,0.9582,Culture,0.0042,Art,0.0035,Bethel Music,Bethel Music released Here Is Love.
Sports,0.7657,Art,0.1826,Culture,0.1131,Pro Tour,in which he reached the finals of Pro Tour San Juan\
Culture,0.4372,Business and Economic,0.3999,Art,0.2494,"the Chennai Port, 2008–09, 57.49 million, 61.06 million tonnes",the Chennai Port handled 61.06 million tonnes of cargo against 57.49 million tonnes in 2008–09.
Science and Technology,0.5633,Warfare and Conflict,0.1071,Healthcare and Medicine,0.0658,,uranium-238\
Sports,0.9879,Culture,0.7354,Warfare and Conflict,0.5744,NRL,the Indigenous All Stars opponent was an NRL All Stars team\
Science and Technology,0.5936,Warfare and Conflict,0.3061,Business and Economic,0.1475,2000\,1 Dassault Falcon 2000\
Culture,0.8368,Political,0.7499,Business and Economic,0.2987,"John Roos, Kennedy, United States, Japan",Kennedy succeed John Roos as United States Ambassador to Japan.
Media and Entertainment,0.6772,Culture,0.4771,Business and Economic,0.2985,"Kabir Bedi, Radio One",Kabir Bedi did Radio One programmes titled\
Media and Entertainment,0.7962,Culture,0.1981,Political,0.0989,"2000, the National Youth Theatre",Don't They? in 2000 at the National Youth Theatre.
Culture,0.7088,Society,0.6116,Science and Technology,0.5875,1988\,In 1988\
Society,0.0327,Art,0.0237,Culture,0.019,"2017, Retro, 2018, 199X",199X (2017) and Retro Futurism (2018).
Media and Entertainment,0.9196,Science and Technology,0.1495,Food and Beverage,0.0827,,Chillerama\
Sports,0.9636,Culture,0.5038,Science and Technology,0.4315,"the 100 meters, 9.97 seconds",completing the 100 meters in 9.97 seconds.
Political,0.9705,Culture,0.6748,Society,0.6313,"three, Republican, one, Democrats",with three Democrats and one Republican.
Sports,0.4502,Media and Entertainment,0.1986,Food and Beverage,0.1081,Lilacs Luck,Lilacs Luck finished second\
Warfare and Conflict,0.045,Environmental,0.0326,Culture,0.0152,Indian,Indian Ocean\
Culture,0.8316,Business and Economic,0.7391,Science and Technology,0.594,"Australia, 2011",Australia in 2011 and the XIX IBC was held in Shenzhen\
Culture,0.5951,Society,0.4176,Science and Technology,0.3591,24.2 km,which is 24.2 km away.
Political,0.92,Culture,0.6192,Science and Technology,0.368,"LDP, the Civic Alliance of Serbia\",where the LDP ran in a coalition together with the Civic Alliance of Serbia\
Sports,0.8765,Culture,0.6499,Society,0.6265,"first, 135\, 459, second",needing 459 runs in the second inning improved on their first innings total 135\
Sports,0.9355,Culture,0.8264,Warfare and Conflict,0.7808,"18-12, Northern Transvaal",Natal defeated Northern Transvaal 18-12.
Culture,0.3629,Science and Technology,0.1328,Business and Economic,0.118,Rokujizo Station,The terminal stations are Rokujizo Station in Uji and Uzumasa Tenjingawa Station in Ukyō-ku\
Sports,0.9576,Political,0.105,Culture,0.0489,Baltimore,ahead of only the Baltimore Orioles\
Culture,0.7067,Sports,0.6037,Warfare and Conflict,0.2691,"twentieth, 392, Joo, eleventh, 576, three",Joo made an appearance finishing eleventh in the air rifle and twentieth in the rifle three positions with scores of 392 and 576.
Media and Entertainment,0.9189,Political,0.1441,Culture,0.1418,"the Foo Fighters', Walking a Line of the One, One, Novoselic",Novoselic performed background vocals on the Foo Fighters' song Walking a Line of the One by One album.
Sports,0.944,Food and Beverage,0.3799,Culture,0.2322,"Dick Crum, the Tangerine Bowl twice\, Miami",Dick Crum led Miami to the Tangerine Bowl twice\
Sports,0.5673,Culture,0.3429,Business and Economic,0.2816,"six, The Mercedes-Benz 300 SL, M198",The Mercedes-Benz 300 SL has a six engine of the M198 model with 2\
Sports,0.8983,Political,0.7995,Culture,0.7859,Australia,handing victory to Australia.
Science and Technology,0.4166,Business and Economic,0.2881,Healthcare and Medicine,0.2595,RSA-768,the project was moved on to RSA-768.
Culture,0.4827,Sports,0.4398,Society,0.2853,"380, 3.0, 335, 340, 375, 279 kW, 250 kW, L V6",Supercharged 3.0 L V6 engine develops 340 PS (250 kW; 335 hp) or 380 PS (279 kW; 375 hp).
Environmental,0.8919,Art,0.7499,Business and Economic,0.7393,"DSB, ten",the DSB Class EA's ten locomotives\
Culture,0.9432,Media and Entertainment,0.7114,Art,0.1655,"Beyond Good, Cult",Wyse played on The Cult's album Beyond Good and Evil.
Science and Technology,0.7195,Business and Economic,0.5662,Warfare and Conflict,0.4428,Codrus,succeeded by Codrus.
Political,0.8216,Culture,0.7532,Society,0.4223,"Australian, Indonesia, David Ritchie, Bill Farmer",David Ritchie was replaced by Bill Farmer as the Australian ambassador to Indonesia?
Media and Entertainment,0.9283,Culture,0.747,Art,0.0407,"José A. Garay\, Grupo Aventura, Fiesta En Mi Pueblo",“Fiesta En Mi Pueblo) and Grupo Aventura (who performed a song by José A. Garay\
Culture,0.5413,Society,0.3653,Business and Economic,0.3431,191,191 to 138\
Science and Technology,0.2057,Environmental,0.1805,Business and Economic,0.1501,3251,Engine 4 is at 3251 N. Harbor Blvd.\
Society,0.4697,Business and Economic,0.4649,Science and Technology,0.3501,,consequently increasing the tonnage.
Sports,0.9945,Media and Entertainment,0.2836,Business and Economic,0.2489,"Dodgers, 2 hours and 36 minutes",where the Phillies beat the Dodgers 3-2 in a game that lasted 2 hours and 36 minutes.
Sports,0.9262,Culture,0.8305,Society,0.6689,"two, March 12–14\",4–2 (10–4) in a two-game series on March 12–14\
Business and Economic,0.0205,Art,0.0082,Warfare and Conflict,0.0064,"the Sarajevo International Airport, 665\",the Sarajevo International Airport had 665\
Political,0.1454,Art,0.0011,Culture,0.0009,"the Department of Veterans' Affairs, Simon Lewis\",The Secretary of the Department of Veterans' Affairs is Simon Lewis\
Sports,0.9398,Culture,0.3901,Warfare and Conflict,0.2502,"Young Boys, Switzerland",Braga met Switzerland's Young Boys in the play-off\
Media and Entertainment,0.9291,Art,0.2232,Society,0.0233,Filmfare Awards for Best Film,and Filmfare Awards for Best Film.
Culture,0.5348,Warfare and Conflict,0.3679,Business and Economic,0.3672,310–254\,310–254\
Sports,0.9864,Media and Entertainment,0.7404,Political,0.1243,The Great American Bash,location of The Great American Bash?
Media and Entertainment,0.9579,Culture,0.0481,Society,0.0167,"Thomas Newman, The Horse Whisperer, Robert Redford's, Meet Joe Black, Martin Brest's",Thomas Newman scored Robert Redford's The Horse Whisperer as well as Martin Brest's Meet Joe Black.
Media and Entertainment,0.9704,Culture,0.405,Society,0.0818,"Green Day's, September",Wood starred in the music videos for Bright Eyes' At the Bottom of Everything and Green Day's Wake Me Up When September Ends.
Political,0.8422,Society,0.6663,Culture,0.6386,49.2%,with a voter turnout of 49.2%.
Sports,0.8954,Culture,0.4859,Society,0.3706,,scoring 51 goals.
Healthcare and Medicine,0.3668,Science and Technology,0.2732,Business and Economic,0.1915,IFFO1,IFFO1 gene\
Culture,0.5219,Society,0.4235,Science and Technology,0.3839,453,453 units.
Culture,0.6899,Society,0.5937,Business and Economic,0.499,2017,2017.
Sports,0.9943,Culture,0.0329,Art,0.0037,"118–82, Michigan, the Wichita State, Princeton Tigers",the Princeton Tigers men's basketball team was defeated by Michigan 93–76 before beating the Wichita State by 118–82.
Culture,0.6557,Society,0.4709,Science and Technology,0.4705,000\,000\
Culture,0.4661,Society,0.3218,Business and Economic,0.313,"2018\, 279",279 applications for 2018\
Sports,0.9447,Culture,0.1488,Media and Entertainment,0.0976,,McGwire set the major league single-season home run record with 70\
Sports,0.9619,Culture,0.4457,Science and Technology,0.1906,"51.60, 400, Kim Robertson, New Zealand",Kim Robertson ran a 400m time of 51.60 in New Zealand.
Sports,0.9776,Culture,0.5215,Science and Technology,0.3085,"Tatyana, Lebedeva, 15.36",Tatyana Lebedeva broke the indoor world record in the triple jump with a mark of 15.36.
Media and Entertainment,0.7603,Culture,0.2777,Business and Economic,0.2345,"1996\, the Gladrags Megamodel Contest, Aditi Govitrikar",Aditi Govitrikar won the Gladrags Megamodel Contest in 1996\
Political,0.8968,Society,0.4971,Culture,0.4253,"France, First, Czech Republic, Marc Perrin de Brichambaut, Second, Chile Eboe-Osuji, Robert Fremr, Nigeria",The President is Chile Eboe-Osuji from Nigeria ; Robert Fremr of Czech Republic is First Vice-President and Marc Perrin de Brichambaut of France is Second Vice-President.
Culture,0.5805,Political,0.313,Sports,0.2814,"Doris Sams\, Muskegon",Muskegon's Doris Sams\
Warfare and Conflict,0.0372,Political,0.0114,Art,0.0091,"21.9 million, National Rifle Association's, 20.7 million, NRA",National Rifle Association's NRA-PVF income rose to 21.9 million with expenses of 20.7 million.
Sports,0.9934,Business and Economic,0.1973,Media and Entertainment,0.1258,"Vojens, Denmark, the Speedway Center, the Speedway Grand Prix of, 2019",the Speedway Grand Prix of Denmark returned to the Speedway Center in Vojens in 2019.
Culture,0.6026,Science and Technology,0.4768,Business and Economic,0.4504,Unicode,The lowercase iota symbol is Unicode code point U+03B9 and the uppercase is U+0399.
Culture,0.8682,Science and Technology,0.7878,Society,0.7231,2002,bronze in 2002).
Sports,0.9184,Culture,0.657,Warfare and Conflict,0.5511,"Jerry Roth, 115–113, Pacquiao",while Jerry Roth scored the fight 115–113 in favor of Pacquiao.
Political,0.8706,Art,0.2927,Culture,0.278,"the Danish Government, the Greenlandic Government",the Greenlandic Government and the Danish Government.
Media and Entertainment,0.9113,Society,0.1276,Culture,0.0938,"Furlong, five, CSI, Shane Casey",Furlong appeared in five episodes of the television program CSI: NY as character Shane Casey.
Culture,0.7219,Political,0.4829,Science and Technology,0.4731,,who finished second\
Media and Entertainment,0.2883,Art,0.0925,Culture,0.0234,"Verónica, Cuando",Verónica in Cuando llega el amor\
Culture,0.676,Art,0.5366,Society,0.4242,"4.9, 301.5 cu in)\, 941",941 cc (4.9 L; 301.5 cu in)\
Political,0.665,Culture,0.5647,Society,0.4381,2015\,the titleholder of 2015\
Media and Entertainment,0.9898,Art,0.5133,Food and Beverage,0.0606,"NYMF Award, Colella",Colella has worked in Kiki Baby and won NYMF Award.
Culture,0.4906,Healthcare and Medicine,0.3327,Business and Economic,0.2987,"154–200, 144–152",144–152 and 154–200.
Sports,0.9645,Media and Entertainment,0.6482,Society,0.1465,600,600 spectators and featured speed skating events\
Culture,0.8433,Political,0.6196,Business and Economic,0.5623,Polixroniou,hosted by Giorgos Polixroniou.
Culture,0.6888,Business and Economic,0.6114,Society,0.6076,2008\,In 2008\
Media and Entertainment,0.5969,Culture,0.0128,Society,0.0106,"Les Misérables, The Mousetrap",after Les Misérables and The Mousetrap.
Culture,0.6777,Education,0.5909,Business and Economic,0.5692,"1974, Massachusetts, 1970, 1968",Massachusetts from 1968 to 1970 and again from 1974 to 1981.
Political,0.7656,Warfare and Conflict,0.5506,Culture,0.0574,"Hamas, 44.45%, vote\",Hamas took 44.45% of the vote\
Culture,0.5068,Society,0.4936,Warfare and Conflict,0.2674,"first, AD 86",the first covering AD 86 to 93\
Sports,0.973,Business and Economic,0.1649,Warfare and Conflict,0.0965,"Nils-Eric Johansson, Bundesliga, Bayern Munich",Nils-Eric Johansson participated in Bundesliga for Bayern Munich.
Art,0.8445,Culture,0.8261,Education,0.7009,"2015, Netherlands, Dafne Schippers, NED",set by Dafne Schippers from Netherlands (NED) in 2015 on Aug 28th.
Sports,0.9232,Culture,0.6387,Society,0.4509,seven,scoring seven goals.
Culture,0.7586,Science and Technology,0.681,Society,0.6345,2010\,in 2010\
Media and Entertainment,0.7932,Business and Economic,0.0187,Religion and Philosophy,0.01,"Filler Paper\, fifth, Ivan Luengo",Ivan Luengo acted in his fifth short film called Filler Paper\
Culture,0.654,Society,0.5645,Business and Economic,0.5424,2009\,2009\
Culture,0.7876,Society,0.1833,Political,0.1377,"Shapinsay, 300\",Shapinsay had a population of 300\
Society,0.1128,Culture,0.0032,Sports,0.0005,890,890 residential units\
Culture,0.917,Science and Technology,0.7237,Sports,0.69,"third, Han, 1 minute and 37.883 seconds, Yueshuang",Han Yueshuang finished third with a time of 1 minute and 37.883 seconds.
Culture,0.5,Society,0.3505,Business and Economic,0.3388,255,255 (4\
Art,0.6347,Culture,0.5225,Science and Technology,0.3595,"1917\, Claude J. Hunt",Claude J. Hunt (1917\
Sports,0.9243,Business and Economic,0.1287,Culture,0.1074,"Manchester United, record\, English League",Manchester United won 20 titles and broke the English League title record\
Business and Economic,0.5537,Culture,0.5063,Political,0.1913,the Shinjuku Sumitomo Building,when it was surpassed by the Shinjuku Sumitomo Building.
Sports,0.9671,Culture,0.564,Science and Technology,0.2636,"12.55 seconds, Pollara Cobb, Guamanian",Pollara Cobb advanced from the preliminaries to the heats and set a Guamanian record in the latter race with a time of 12.55 seconds.
Culture,0.839,Society,0.7495,Political,0.6899,"Dec. 1810, 1811, Archibald Seton",Dec. 1810 till Archibald Seton arrived in 1811.
Sports,0.9876,Culture,0.3669,Business and Economic,0.3334,"Matt Duchene, the Brampton Battalion, third, the Colorado Avalanche",and the Colorado Avalanche drafted the third pick Matt Duchene of the Brampton Battalion.
Sports,0.8653,Culture,0.5726,Art,0.1793,"293 yards, UCLA, five, one",Bethel completed 23 of 55 passes for 293 yards with one touchdown and five interceptions for UCLA.
Culture,0.8472,Media and Entertainment,0.8113,Society,0.6929,"4.48 million, second",while the second part drew 4.48 million.
Culture,0.7657,Society,0.5363,Art,0.4306,"2010, 795, Peru, 246\",795 immigrants from Peru in 2010 and the number is changed to 246\
Culture,0.7443,Science and Technology,0.6678,Sports,0.5901,"Buemi\, Jean-Éric Vergne",Jean-Éric Vergne was joined on the front row of the grid by Buemi\
Culture,0.7011,Warfare and Conflict,0.6784,Political,0.436,"Muhammad, Qasim",which had been conquered by Muhammad ibn Qasim.
Media and Entertainment,0.9755,Political,0.5093,Art,0.2735,"Jones, the Royal Court Theatre",Felicity Jones acted in That Face at the Royal Court Theatre.
Sports,0.9753,Media and Entertainment,0.9677,Culture,0.6202,"Sam played Samara, Si Agimat",Sam played Samara in Si Agimat at Si Enteng Kabisote\
Sports,0.9893,Culture,0.7939,Education,0.1374,"NCAA, two, The William & Mary Tribe, 1947, 1948, Rice, San Francisco",The William & Mary Tribe team won two NCAA championships in 1947 (10–4 vs. Rice) and 1948 (6–5 vs. San Francisco).
Sports,0.9854,Culture,0.0009,Art,0.0007,,the only sportsman to have earned it more than once.
Culture,0.7293,Education,0.6497,Society,0.5858,"HDI, 74.9",and HDI rank of 74.9.
Sports,0.8376,Culture,0.8239,Business and Economic,0.3715,"second, Team Sky, the Quick-Step Floors, first, 154",154 points behind Team Sky in first were the Quick-Step Floors in second place.
Science and Technology,0.3323,Art,0.2335,Business and Economic,0.2302,,Doddabetta\
Media and Entertainment,0.964,Art,0.0529,Culture,0.0339,Hodson,Hodson appeared in Unforgettable\
Healthcare and Medicine,0.6084,Culture,0.5813,Society,0.5167,,were kept in taxiable condition.
Media and Entertainment,0.9552,Culture,0.0024,Political,0.0016,"early 2015\, Les Misérables",After finishing his run of Les Misérables in early 2015\
Culture,0.6639,Society,0.5818,Science and Technology,0.4941,"131\, 000",000 as part of a total prize money pool of $131\
Sports,0.9581,Culture,0.3448,Society,0.1693,"36-year old, Ryun, 3:55.3)\, mile record, Alan Webb",Alan Webb broke Ryun's 36-year old mile record (3:55.3)\
Media and Entertainment,0.8836,Culture,0.0849,Society,0.0391,"Tracy Byrd's, Love Lessons, Ted Hewitt",Ted Hewitt wrote Tracy Byrd's Love Lessons which peaked at #9.
Art,0.3128,Culture,0.1176,Society,0.1164,"Consolidated Rail Leasing, four",it is currently one of the four locomotives that serve Consolidated Rail Leasing.
Culture,0.5671,Sports,0.3157,Art,0.2893,"Florence Griffith-Joyner, 10.49 seconds",the record set by Florence Griffith-Joyner was 10.49 seconds.
Culture,0.6298,Political,0.6116,Society,0.425,"Durrani, Pakistan, June 2006\, the United States",Durrani was appointed as Pakistan Ambassador to the United States in June 2006\
Sports,0.8405,Culture,0.219,Warfare and Conflict,0.1611,"2006, WBA, 2009, WBC",having held the WBA super featherweight title from 2006 to 2008 and the WBC lightweight title from 2009 to 2010.
Culture,0.6327,Society,0.5402,Science and Technology,0.5365,2018\,2018\
Culture,0.6941,Society,0.5778,Business and Economic,0.5654,95.2%,with a 95.2% turnout.
Business and Economic,0.5459,Science and Technology,0.5028,Culture,0.3483,,TB 115\
Media and Entertainment,0.8219,Political,0.0476,Culture,0.0017,"Nielsen, 21.7, 28th",The Fugitive was 28th in the Nielsen ratings with a 21.7 rating\
Sports,0.9548,Culture,0.5002,Warfare and Conflict,0.3118,"United Arab Emirates, 0-2",United Arab Emirates team lost 0-2 to Colombia\
Culture,0.5458,Art,0.5002,Science and Technology,0.4843,413 meters,which rises 413 meters (1\
Sports,0.8535,Society,0.1458,Culture,0.0814,"Pat Coyle, Defensive Player",Pat Coyle was named Defensive Player of the Year\
Media and Entertainment,0.9526,Food and Beverage,0.6356,Culture,0.0685,"First Served, the Analog Brothers, Pimp",First Served as well as the Analog Brothers album Pimp to Eat.
Culture,0.6658,Business and Economic,0.5819,Society,0.5535,"2010\, 2009",2009 and 2010\
Culture,0.6683,Society,0.5432,Science and Technology,0.5328,1998\,1998\
Media and Entertainment,0.9681,Sports,0.7368,Culture,0.4722,Mz Kiss,Mz Kiss was nominated for the Rookie of the Year at The Headies 2016\
Media and Entertainment,0.9667,Culture,0.2945,Sports,0.2441,"Nha Caela, The Island of Contenda",and played Nha Caela in The Island of Contenda.
Culture,0.1995,Business and Economic,0.1273,Science and Technology,0.0967,"first, Fuchs, Porsche",Porsche made Fuchs wheels for their first iteration of the 911S.
Culture,0.3806,Society,0.2798,Science and Technology,0.1542,January 12\,Phase 2 of Line 1 opened on January 12\
Business and Economic,0.0573,Society,0.0433,Culture,0.0203,"Boeing, 737-200",and 6 Boeing 737-200.
Media and Entertainment,0.9881,Political,0.0538,Culture,0.0487,"Debbie Morton, EastEnders",Cordingly appeared as Debbie Morton in EastEnders.
Culture,0.314,Science and Technology,0.2363,Education,0.1938,The Roux Scholarship,The Roux Scholarship was shown on the channel Watch.
Culture,0.6772,Society,0.6056,Science and Technology,0.5871,2015\,2015\
Science and Technology,0.5694,Culture,0.3925,Society,0.236,"928, CF-34-10",the 928 featured an increased wing span and more powerful GE CF-34-10 engine.
Business and Economic,0.1001,Science and Technology,0.0757,Society,0.0697,−128,the rest of the combinations with the most significant bit as '1' represent the negative integers −1 to −128.
Media and Entertainment,0.961,Political,0.1844,Culture,0.0769,"Best Feature Film, 2012, Moscow, Favorite Film",Dilema was nominated for Favorite Film at the 2012 Indonesian Movie Awards and won Best Feature Film at the 2012 DetectiveFEST Moscow.
Culture,0.7213,Society,0.5322,Science and Technology,0.4955,"18.5 km, km²",with a length of 18.5 km and an area of 25 km².
Media and Entertainment,0.9925,Culture,0.6832,Warfare and Conflict,0.3439,"Webbed 2, MTV India's, Ravi, Rohan Mehra",Rohan Mehra was featured as Ravi in MTV India's Webbed 2.
Sports,0.8842,Culture,0.2262,Warfare and Conflict,0.0936,"501, Rivera, 122, Milan",Rivera played for Milan and scored 122 league goals in 501 appearances\
Sports,0.5353,Culture,0.2338,Art,0.1013,"1960–61, Fiorentina",Luzern participated in the UEFA Cup Winners' Cup in 1960–61 but was defeated in qualifiers by Fiorentina (0–3\
Media and Entertainment,0.9096,Culture,0.2268,Political,0.0226,"Freedom, Rock Song, 2013",while the single Freedom at 21 was nominated for Best Rock Song in 2013.
Culture,0.6043,Society,0.484,Science and Technology,0.4269,2012 to March 23\,2012 to March 23\
Business and Economic,0.101,Warfare and Conflict,0.0754,Culture,0.0652,"Gooch, 123\",Gooch reached 123\
Sports,0.841,Culture,0.5099,Art,0.2293,346 yards,Clemson completed 36 of 50 passes for 346 yards.
Culture,0.8104,Political,0.7735,Society,0.5782,"Martha Villalobos, second, 470 days",470 days and Martha Villalobos has the second longest overall reign of 1\
Culture,0.4441,Warfare and Conflict,0.3292,Science and Technology,0.2894,"620, 12\",620 and 12\
Culture,0.7405,Society,0.4729,Sports,0.3766,"1963, 1960",and the runner-up in 1960 and 1963.
Culture,0.5458,Science and Technology,0.4009,Media and Entertainment,0.3989,256MB\,256MB\
Culture,0.6974,Society,0.5731,Business and Economic,0.5581,49.6%,with a 49.6% turnout.
Culture,0.045,Warfare and Conflict,0.0214,Sports,0.0185,"2000, Natalie Barratt, Vauxhall, Marko Ipatti, Polar Motorsport, British Rally Championship, Mark Higgins, Neil Wearden",Marko Ipatti and Natalie Barratt drove for Polar Motorsport and Mark Higgins and Neil Wearden drove for Vauxhall in the 2000 British Rally Championship.
Media and Entertainment,0.9805,Food and Beverage,0.3799,Culture,0.1327,"Casas, Carne de neon",Casas starred in Carne de neon (Neon Meat)\
Media and Entertainment,0.9793,Society,0.2122,Warfare and Conflict,0.0696,Favorite Movie Actress,Dakota Fanning won an award for Favorite Movie Actress.
Society,0.2832,Political,0.2252,Culture,0.1873,,consists kyōgen members.
Culture,0.6719,Business and Economic,0.5984,Society,0.5392,1982–1986\,1982–1986\
Sports,0.9128,Culture,0.5135,Media and Entertainment,0.4128,2000,when they won the finals in 2000.
Culture,0.9382,Science and Technology,0.7014,Business and Economic,0.5239,"China, 37.82",China finished with a record of 37.82 s.
Sports,0.3956,Media and Entertainment,0.203,Society,0.1445,"Nani, 2009, Rooney, Manchester",The 2009 FA Community Shield ended in a 2–2 draw – with goals from Nani and Rooney for Manchester United\
Business and Economic,0.721,Culture,0.7094,Political,0.6409,New York,New York.
Sports,0.9323,Science and Technology,0.499,Business and Economic,0.3853,Sacramento,Sacramento State\
Media and Entertainment,0.9947,Culture,0.3213,Warfare and Conflict,0.0747,"Gauri, Balika, Mahima Makwana",Mahima Makwana played the role of Gauri in the Colors TV show Balika Vadhu\
Sports,0.947,Culture,0.6805,Society,0.3593,"second, Dalton Grant, Sorin Matei, third, 2.36",Dalton Grant won the second men's edition and Sorin Matei set a meet record of 2.36 m at the third edition.
Media and Entertainment,0.8532,Culture,0.4391,Political,0.2068,"AWGIE Awards, the Feature Film – Adaptation, Award, the AACTA Awards, 1997",Blackrock was nominated for Best Film at the AACTA Awards and won the Feature Film – Adaptation award as well as the Major Award at the 1997 AWGIE Awards.
Political,0.7657,Culture,0.619,Science and Technology,0.1881,"Virginia, Mississippi",Virginia and Mississippi.
Culture,0.617,Business and Economic,0.4311,Society,0.4136,,8).
Media and Entertainment,0.9763,Warfare and Conflict,0.6168,Political,0.4302,Behzad Leito,Behzad Leito released song Kargardan\
Culture,0.691,Science and Technology,0.4952,Warfare and Conflict,0.3613,Kordia,transmitted by Kordia via DVB 64-QAM.
Society,0.4585,Culture,0.4432,Art,0.3649,max,with a max elevation of 4\
Media and Entertainment,0.7289,Political,0.2908,Culture,0.0547,"François Truffaut, 1966, Fahrenheit 451",François Truffaut appeared in the 1966 film Fahrenheit 451.
Culture,0.6098,Political,0.1538,Environmental,0.1081,"887, Krynica Morska",887 and the population of Krynica Morska is 1\
Culture,0.7715,Science and Technology,0.5353,Society,0.4511,"Norway, Sweden",Norway and Sweden.
Media and Entertainment,0.967,Culture,0.0015,Art,0.0011,,the Filmfare awards\
Culture,0.6164,Society,0.4561,Business and Economic,0.4427,"130, 175",while the I4 provided 175 hp (130 kW).
Culture,0.8829,Sports,0.8678,Society,0.502,"American, 1:50:46.2, Petar Stoychev, 1:50:48.2, ninth, Alex Meyer",Petar Stoychev finished ninth in 1:50:46.2 and the American swimmer Alex Meyer finished tenth (1:50:48.2).
Science and Technology,0.2663,Society,0.1416,Culture,0.1281,"seven, Wooddell, nine",Wooddell's scale value is seven for quartz and nine for corundum\
Science and Technology,0.809,Society,0.2981,Education,0.2317,,and SOLiD sequencing platforms.
Society,0.0946,Political,0.0286,Warfare and Conflict,0.0063,Saigon,which was providing security in the Saigon area.
