question,answer
how many passing yards did craig morton get in 1972?,2396.0
how many sacked yards did philip rivers have in 2010?,227.0
what was the percentage of sport jobs declined in canada in 2014?,2.8
"sport jobs declined 2.8% in canada in 2014, what was the percentage of job losses in ontario?",-3.4
"sport jobs declined 2.8% in canada in 2014, what was the percentage of job losses in british columbia?",-5.5
what was the percentage of sport jobs in newfoundland and labrador rose in 2014?,4.8
what was the percentage of sport jobs in newfoundland and labrador declined in 2013?,2.8
what was the percentage of sport jobs in prince edward island in 2014?,1.1
what was the percentage of sport jobs in prince edward island in 2013?,2.8
what was the percentage of sport jobs in nova scotia in 2014?,4.2
what was the percentage of sport jobs in nova scotia increased in 2013?,9.6
what was the percentage of sport jobs in nova scotia increased in 2014?,1.3
what was the percentage of sport jobs in nova scotia increased in 2013?,4.1
what was the percentage of sport jobs in quebec increased in 2014?,0.8
what was the percentage of sport jobs in quebec increased in 2013?,6.6
what was the percentage of sport jobs in ontario decreased in 2014?,3.4
what was the percentage of sport jobs in ontario increased in 2013?,2.4
what was the percentage of sport jobs in ontario fell in 2014?,11.3
what was the percentage of sport jobs in manitoba increased in 2013?,11.5
what was the percentage of sport jobs in saskatchewan fell in 2014?,0.6
what was the percentage of sport jobs in saskatchewan increased in 2013?,5.6
what was the percentage of sport jobs in saskatchewan declined in 2014?,0.4
what was the percentage of sport jobs in saskatchewan declined in 2013?,0.7
what was the percentage of sport jobs in british columbia declined in 2014?,5.5
what was the percentage of sport jobs in british columbia increased in 2013?,4.3
what was the percentage of sport jobs in british columbia increased in 2014?,4.6
what was the percentage of sport jobs in yukon declined in 2013?,1.8
what was the percentage of sport jobs in northwest territories increased in 2014?,2.2
what was the percentage of sport jobs in northwest territories decreased in 2013?,1.1
what was the percentage of sport jobs in nunavut increased in 2014?,1.4
what was the percentage of sport jobs in nunavut decreased in 2013?,6.7
what is the estimated percentage of the canadian household population aged 15 to 64 had a mood/anxiety disorder in the previous year?,6.1
what is the estimated percentage of the canadian household population aged 15 to 64 had a substance use disorder in the previous year?,3.8
what is the percentage of men had concurrent disorders?,1.4
what is the percentage of women had concurrent disorders?,1.1
who were more likely to have a mood/anxiety disorder?,female
who were more likely to have a substance use disorders?,male
which group ages peaked at the prevalence of mood/anxiety disorders?,25 to 44
"who is more likely to be single,people with concurrent disorders or people with a mood/anxiety disorder?",concurrent disorders
"who is less likely to be single,people with concurrent disorders or people with a mood/anxiety disorder?",concurrent disorders
what is the precentage of peopele with with a mood/anxiety disorder at aged 15 to 24?,19.7
"who is less likely to be employed or in the top two household income adequacy quintiles,people with substance use disorder or people with concurrent disorders?",concurrent disorders
"who is more likely in the bottom two household income quintiles,people with substance use disorder or people with concurrent disorders?",concurrent disorders
what is the percentage of people with concurrent disorders reported that they had at least two chronic conditions?,29.1
"who is likely to had at least two chronic conditions,people with concurrent disorders or those with a mood/anxiety disorder?",mood/anxiety disorder only
"who is likely to had at least two chronic conditions,people with concurrent disorders or those with a substance use disorder?",substance use disorder only
what is the percentage of people with a concurrent disorders perceived their health to be fair or poor?,34.8
what is the percentage of people with a mood/anxiety disorder perceived their health to be fair or poor?,36.8
what is the percentage of people with a ubstance use disorder perceived their health to be fair or poor?,16.6
"who is likely to perceive their mental health to be fair or poor,people with concurrent disorders or those with a substance use disorder?",concurrent disorders
"who is likely to report high life stress,people with concurrent disorders or those with a substance use disorder?",concurrent disorders
"who is likely to report high psychological distress,people with concurrent disorders or those with a mood/anxiety?",concurrent disorders
"who is likely to report high psychological distress,people with concurrent disorders or those with a substance use disorder?",concurrent disorders
"who is more likely to have received help for their emotions, mental health or substance use in the past 12 months,people with concurrent disorders or those with a mood/anxiety disorder?",concurrent disorders
"who is more likely to have received help for their emotions, mental health or substance use in the past 12 months,people with concurrent disorders or those with substance use disorder?",concurrent disorders
what is the percentage of rc-prs held a postsecondary qualification at landing?,49.2
what is the percentage of gars held a postsecondary qualification at landing?,24.1
what is the percentage of psrs held a postsecondary qualification at landing?,21.4
what is the percentage of rc-prs held a bachelor's degree or higher?,25
what is the percentage of gars held a bachelor's degree or higher?,14.3
what is the percentage of psrs held a bachelor's degree or higher?,8
which place rc-prs were more likely to have been born in?,south and central america
what is the average age of psrs at landing for resettled refugees or upon making a refugee claim?,31.8
what is the average age of rc-prs at landing for resettled refugees or upon making a refugee claim?,32.5
what is the average age of gars at landing for resettled refugees or upon making a refugee claim?,32.5
how many thousand dollars did the nation's 42 federally funded research and development centers (ffrdcs) spend on r&d in fy 2017?,20038307.0
how many percentage points did most support for r&d come from the federal government in fy 2017?,0.98151
"most support for r&d came from the federal government, how many thousand dollars reached in fy 2017?",19667804.0
how many passing yards did fitzpatrick have in 2009?,1422.0
"when did ""wake up (next to you)"" release?",1985.0
what was the percentage change of gdp of culture industries nationally in 2014?,3.5
what was the percentage change of gdp of culture industries nationally in 2013?,4.4
what was the percent of gdp of culture industries increased in all provinces and territories except northwest territories?,-2.7
what the percent of growth did british columbia have in 2014?,4.2
what the percent of growth did ontario have in 2014?,3.8
what the percent of growth did alberta have in 2014?,3.3
how many percentage points did gdp of culture industries in prince edward island grow in 2014?,0.6
how many percentage points did gdp of culture industries in prince edward island grow in 2013?,1.0
how many percentage points did gdp of culture industries in nova scotia grow in 2014?,2.6
how many percentage points did gdp of culture industries in nova scotia increase in 2013?,1.5
how many percentage points did gdp of culture industries in new brunswick grow in 2014?,0.9
how many percentage points did gdp of culture industries in ontario advance in 2014?,3.8
how many percentage points did gdp of culture industries in ontario increase in 2013?,4.9
how many percentage points did gdp of culture industries in manitoba grow in 2014?,2.7
how many percentage points did gdp of culture industries in manitoba grow in 2013?,4.7
how many percentage points did gdp of culture industries in saskatchewan advance in 2014?,3.1
how many percentage points did gdp of culture industries in saskatchewan increase in 2013?,1.9
how many percentage points did gdp of culture industries in alberta grow in 2014?,3.3
how many percentage points did gdp of culture industries in alberta grow in 2013?,4.5
how many percentage points did gdp of culture industries in british columbia rise in 2014?,4.2
how many percentage points did gdp of culture industries in british columbia rise in 2013?,3.1
how many percentage points did gdp of culture industries in yukon grow in 2014?,1.2
how many percentage points did gdp of culture industries in yukon grow in 2013?,0.0
how many percentage points did gdp of culture industries in northwest territories fall in 2014?,2.7
how many percentage points did gdp of culture industries in northwest territories advance in 2013?,2.9
how many percentage points did nunavut's gdp of culture industries advance in 2014?,2.0
how many percentage points did nunavut's gdp of culture industries increase in 2013?,1.7
what is the percentage of rc-prs who made their claim in 2010 reported employment income in the following tax year?,59.7
what is the percentage of rc-prs who made their claim in 2010 reported employment income after six years?,80.9
what is the perentage of gars who landed in 1999 reported employment income in the first year after landing?,53.1
what is the perentage of gars who landed in 2010 reported employment income in the first year after landing?,32.9
"from the 1999 cohort to the 2010 cohort,how many percentage ponit of psrs who received employment income six years after landing has declined ?",5.2
"across the country in 2016,how many stand-alone municipal police services which served a population greater than 100,000?",50
"of these services, how many municipal police services saw an increase in their rate of police strength from 2015 to 2016?",17
"of these services, how many municipal police services saw an decrease in their rate of police strength from 2015 to 2016?",24
"of these services, how many municipal police services reported no notable change of strength from 2015 to 2016?",9
"how much percentage points does the municipalities coquitlam, british columbia in police strength?",14.8
"how much percentage points does the municipalities surrey, british columbia increases in police strength?",12.6
"how much percentage points does the municipalities terrebonne, quebec in police strength?",9.2
"among the 50 municipal services, which city reported the largest decrease in rate of strength?","delta, b.c"
"what is the percentage of the municipality of delta, located in british columbia, reported declining?",12.5
"how many police officers per 100,000 population has in victoria, british columbia?",236.0
"how many police officers per 100,000 population has in montreal, quebec?",229.0
"how many police officers per 100,000 population has in halifax, nova scotia?",219.0
"how many police officers per 100,000 population has in british columbia's municipality of richmond?",97.0
"how many police officers per 100,000 population has in richelieu saint-laurent,quebec?",105.0
"how many police officers per 100,000 population has in levis,quebec?",106.0
how many police officers were hired by police services in canada in 2015/2016?,2630.0
what is the percentage of graduates hired by police services in canada?,86.0
what is the percentage of experienced officers hired by police services in canada??,14.0
"according to police reported,how many officers officers departed their service in 2015/2016?",2652.0
"according to police reported,what is the percentage of officers departed their service for retirement in 2015/2016?",69.0
"according to police reported,what is the percentage of officers departed their service for other reasons such as a job with another police service, a career change, or other reasons in 2015/2016?",31.0
what is the percentage of officers in canada were eligible to retire but did not in 2015/2016?,10.0
what is the proportion of officers eligible to retire in ontario?,7.0
what is the proportion of officers eligible to retire in prince edward island?,18.0
what is the proportion of officers eligible to retire in manitoba?,19.0
what is the proportion of officers eligible to retire in in newfoundland and labrador?,20.0
total operating expenditures for all police services across canada in 2015/2016 amounted to $14.2 billion in current dollars.,14192608.0
what is the percentage of contract policing expenditures in the total rcmp expenditures?,0.560891
what is the percentage of perational support and services expenditures in the total rcmp expenditures?,0.254642
what is the percentage of federal and international policing expenditures in the total rcmp expenditures?,0.184467
"with $4.5 billion reported in 2015/2016, what is the percentage of the rcmp accounted for total police operating expenditures in the country?",0.315741
what is the percentage of the total operating expenditures for the rcmp decreased from the previous year?,0.6
"in fy 2017, how many percentage points of total ffrdc r&d expenditures did basic research activities account for?",20.5
"in fy 2017, basic research activities accounted for 20.5% of total ffrdc r&d expenditures, how many percentage points lower than in fys 2013 and 2014?",3.2
how many percentage points were the remaining r&d expenditures divided in applied research?,39.6
how many percentage points were the remaining r&d expenditures divided in experimental development?,39.9
what is the number of city pairs the second phase?,180.0
what is the percentage of youth who participated in restorative justice lived in a location that was in the bottom quintile in 2009/2010?,0.43
what is the percentage of all nova scotia youth participated in restorative justice?,34.0
"for those lived in a location that was in the bottom quintile,who has a higher percentage of rj participants?",female
what is the percentage of girls who participated in restorative justice appeared to be no longer living with their parents?,20.0
what is the percentage of male rj participants filed taxes but were not identified as living with a parent?,9.0
"among all nova scotian 16- and 17-year-old youths, what is the percentage of youths who were identified as non-child filers, not living with parents, with little difference by gender?",6.0
what is the percentage of tax filing girls who were living in a low-income situation?,50.0
what is the percentage of tax filing boys who were living in a low-income situation?,31.0
"among 16- and 17-year-old nova scotians who filed taxes, what is the percentage of them who living in low income?",22.0
"among 16- and 17-year-olds,what is the percentage of rj participants who reported employment income in 2009?",35.0
"among 16- and 17-year-olds,what is the percentage of nova scotia youth who reported employment income in 2009?",32.0
what is the percentage of the referrals for youth to rj were from police (pre-charge)?,57.0
what is the percentage of referrals for youth to rj were by crown prosecution?,37.0
what is the percentage of referrals from courts or corrections?,6
who were more likely to be referred by police?,female
who were more likely to be referred by referred by prosecutors?,male
what is the percentage of cases took 90 days or less in the rj process?,25.0
what is the percentage of cases took three and six months in the rj process?,49.0
what is the percentage of cases took six months to a year in the rj process?,23.0
what is the percentage of cases took longer than one year in the rj process?,3.0
what is the percentage of the youth who participated in rj in nova scotia did not have any further contact as youth with rj in nova scotia?,84.0
what is the percentage of the youth who had at least one further contact with rj between 2009/2010 and 2014/2015?,16
who is were more likely to have re-contact with rj?,male
"what is the percentage of youth who had recontact with rj,the time between the two processes was over one year?",51.0
what is the percentage of offenders had re-contact when the first rj offence was violent?,21.0
what is the percentage of offenders had re-contact when the first rj offence was property crime?,15.0
what is the percentage of youth who had re-contact with rj of second processes or files was less serious?,35.0
what is the percentage of youth who had re-contact with rj of second processes or files was a similar level of seriousness?,23.0
what is the percentage of youth who had re-contact with rj of second processes or files was a more serious offence?,42.0
which three places rose most in the unemployment rate between 1999/2000 and 2009/2010?,"<toronto>, <hamilton>, <rest of ontario>"
which place in provinces west of ontario has the lower rose in unemployment rates?,ottawa
how many million dollars did the jet propulsion laboratory reported the largest dollar and percentage increase in r&d of any center increase from fy 2016?,472457
how many percent did the jet propulsion laboratory reported the largest dollar and percentage increase in r&d of any center increase from fy 2016?,25.5
"what was the peak chart position in germany of the album ""i will love you monday (365)""?",1.0
how many goals did bert llewellyn score across all competitions at wigan?,140.0
what is the percentage of canada's non-violent crime severity index (csi) has increased in 2016?,2.0
"compare to 2015, what is the percentage of canada's csi has increased in 2016?",1.0
"compare to a decade before, what is the percentage of canada's csi has declined in 2016?",29
what is the percentage of canada's non-violent crime severity index (csi) has increased in 2016?,2.0
what is the percentage of violent crimes account for all police-reported criminal code offences in 2016?,0.201311
how many police-reported violent incidents happened in 2016?,381594.0
comparing to the previous year how many less police-reported violent incidents happened in 2016?,521
"what is the violent incidents per 100,000 population in canada in 2016?",1052.0
"comparing to 2015, how many percentage point of the violent crime rate in canada has declined in 2016?",1
"comparing to a decade earlier, how much percentage point of the violent crime rate in canada has declined in 2016?",24
which kind of crime was most reported by police in 2016?,"<property crime>, <other criminal code offences>"
what is the percentage point of most crime reported by police was non-violent in nature accounting for police-reported criminal code incidents in 2016?,0.798689
how many police-reported non-violent criminal code incidents it has in 2016?,1513952
"in total, there were over 1.2 million police-reported non-violent criminal code incidents in 2016 (excluding traffic)was accounting for property crimes.",1163647.0
what is the rate of property crime in 2015?,3218.0
what is the rate of property crime in 2016?,3207.0
"comparing to 2015, how many percentage point has northwest territories decreased in their crime severity index (csi) in 2016?",9
"comparing to 2015, how many percentage point has quebec decreased in their crime severity index (csi) in 2016?",3
"comparing to 2015, how many percentage point has prince edward island decreased in their crime severity index (csi) in 2016?",3
"comparing to 2015, how many percentage point has nova scotia decreased in their crime severity index (csi) in 2016?",3
"comparing to 2015, how many percentage point has new brunswick decreased in their crime severity index (csi) in 2016?",2
"comparing to 2015, how many percentage point has alberta decreased in their crime severity index (csi) in 2016?",1
"comparing to 2015, how many percentage point has british columbia decreased in their crime severity index (csi) in 2016?",1
"comparing to 2015, what is the percentage point of the declines in violent csi reported by british columbia in 2016?",10
"comparing to 2015, what is the percentage point of the declines in violent csi reported by northwest territories in 2016?",9
"comparing to 2015, what is the percentage point of the declines in violent csi reported by alberta in 2016?",8
"comparing to 2015, what is the percentage point of the increases in violent csi reported by manitoba in 2016?",10.0
"comparing to 2015, what is the percentage point of the increases in violent csi reported by yukon in 2016?",9.0
which two places reported the lowest non-violent csis?,"<quebec>, <ontario>"
"comparing to 2015, what is the percentage point of the declines in violent csi reported by northwest territories in 2016?",9
"comparing to 2015, what is the percentage point of the declines in violent csi reported by new brunswick in 2016?",4
"comparing to 2015, what is the percentage point of the declines in violent csi reported by yukon in 2016?",4
"in 2016,how many percentage points has regina increased in the non-violent csi index?",15.0
"in 2016,how many percentage points has winnipeg increased in the non-violent csi index ?",14.0
"in 2016,how many percentage points has greater sudbury increased in the non-violent csi index?",12.0
"in 2016,how many percentage points has guelph increased in the non-violent csi index?",12.0
"in 2016,how many percentage points has trois-rivieres reported decreases to their non-violent csi?",10
"in 2016,how many percentage points has victoria reported decreases to their non-violent csi?",9
"between 2015 and 2016, how many canada's census metropolitan areas (cmas) reported increases in their crime severity index (csi)?",20
"in 2016,how many percentage points has winnipeg recorded increases in csi?",16.0
"in 2016,how many percentage points has regina recorded increases in csi?",15.0
"in 2016,how many percentage points has brantford recorded increases in csi?",13.0
"in 2016,how many percentage points has ottawa recorded increases in csi?",10.0
"in 2016,how many percentage points has quebec recorded increases in csi?",8.0
"in 2016,how many percentage points has calgary recorded declines in csi in 2016?",6
"in 2016,how many percentage points has edmonton reported increases in csi?",3.0
"in 2016,how many csis were recorded in edmonton in 2016?",105.7
"in 2016,how many csis were recorded in kelowna?",100.3
"in 2016,how many csis were recorded in vancouver?",94.3
"in 2016,how many csis were recorded in abbotsford-mission?",91.4
which seven cmas also had the highest police-reported crime rates in 2016?,"<regina>, <saskatoon>, <kelowna>, <edmonton>, <vancouver>, <abbotsford-mission>, <winnipeg>"
"between 2015 and 2016, how many percentage point has trois-rivieres reported decline in csi?",14
which reported the lowest crime rate amongst cmas in 2016?,trois-rivieres
how many receptions did robby anderson get in 2016?,42.0
what the matches did red star belgrade participate in?,"<serbia and montenegro superliga>, <serbia and montenegro cup>, <uefa cup>"
how many homicides was recorded in thunder bay in 2016?,8.0
"what is the recorded per 100,000 population homicide rate in thunder bay in 2016?",6.64
how many homicides was recorded in edmonton in 2016?,47.0
how many homicides was recorded in regina in 2016?,8.0
"what is the recorded per 100,000 population homicide rate in edmonton?",3.39
"what is the recorded per 100,000 population homicide rate in regina?",3.23
"in 2016, how many homicides were reported in trois-rivieres?",0.0
"in 2016, how many homicides were reported in kingston?",0.0
"in 2016, how many homicides were reported in greater sudbury?",0.0
"comparing to 2015,how many percentage point of robbery rates has increased in moncton in 2016?",62.0
"comparing to 2015,how many percentage point of robbery rates has increased in saint john in 2016?",48.0
"comparing to 2015,how many percentage point of robbery rates has increased in gatineau in 2016?",44.0
"comparing to 2015,how many percentage point of robbery rates has increased in barrie in 2016?",28.0
"comparing to 2015,how many percentage point of the rate of robbery has trois-rivieres reported to decline in 2016?",66
"what is the recported per 100,000 population robbery rate in trois-rivieres?",12.0
"what is the recported per 100,000 population robbery rate in saguenay?",16.0
"what is the recported per 100,000 population robbery rate in kingston?",18.0
"what is the recported per 100,000 population robbery rate in quebec?",19.0
"what is the recported per 100,000 population robbery rate in sherbrooke?",19.0
"what is the recported per 100,000 population robbery rate in winnipeg?",229.0
"comparing to 2015,how many percentage point has winnipeg incresed in the rate of robbery in 2016?",27.0
"comparing to 2015,how many percentage point has gatineau reported to declines in motor vehicle theft in 2016?",28
"comparing to 2015,how many percentage point has trois-rivieres reported to declines in motor vehicle theft in 2016?",25
"comparing to 2015,how many percentage point has greater sudbury reported to declines in motor vehicle theft in 2016?",17
"comparing to 2015,how many percentage point has guelph reported to increases in motor vehicle theft in 2016?",49.0
"comparing to 2015,how many percentage point has regina reported to increases in motor vehicle theft in 2016?",17.0
"comparing to 2015,how many percentage point has saskatoon reported to increases in motor vehicle theft in 2016?",16.0
"comparing to 2015,how many percentage point has calgary reported to increases in motor vehicle theft in 2016?",0.0
"comparing to 2015,how many percentage point has edmonton reported to increases in motor vehicle theft in 2016?",10.0
"comparing to previous year, how many percentage point of the youth crime severity index has declined in 2016?",2
"comparing to previous year, how many percentage point of the youth-violent csi has declined in 2016?",8
"comparing to 2015, how many percentage point of the youth-violent csi has increased in 2016?",5.0
"comparing to 2015, how many percentage point of youth csi has declined in yukon in 2016?",28
"comparing to 2015, how many percentage point of youth csi has declined in alberta in 2016?",15
"comparing to 2015, how many percentage point of youth csi has declined in prince edward island in 2016?",12
"how many of youth csi per 100,000 population prince edward island has in 2016?",30.7
"how many of youth csi per 100,000 population saskatchewan has in 2016?",170.2
"how many of youth csi per 100,000 population manitoba has in 2016?",113.1
"comparing to 2015, how many percentage point of youth csi has increased in nova scotia in 2016?",8.0
"comparing to 2015, how many percentage point of youth csi has increased in ontario in 2016?",4.0
"comparing to 2015, how many percentage point of youth csi has increased in quebec in 2016?",4.0
what is the percentage of decedents who were hospitalized in their last year of life received inpatient pc consultation?,18.7
what is the percentage of decedents who were hospitalized in their last year of life received inpatient pc consultation in alberta?,15.3
what is the percentage of decedents who were hospitalized in their last year of life received inpatient pc consultation in nova scotia?,30.6
what is the percentage of decedents who were hospitalized in their last year of life received inpatient pc consultation in ontario?,16.9
what is the percentage of decedents who were hospitalized in their last year of life received inpatient pc consultation in british columbia?,18.4
"across the provinces, which place has the lowest rates in decedents who were hospitalized in their last year of life, received inpatient pc consultation?",alberta
"among those who received inpatient pc in their last year of life and who were hospitalized prior to their last 30 days of life, what is the percentage of decedents who received pre-terminal pc consultation?",21.7
"among those who received inpatient pc in their last year of life and who were hospitalized prior to their last 30 days of life, what is the percentage of decedents who received pre-terminal pc consultation in new brunswick?",16.1
"among those who received inpatient pc in their last year of life and who were hospitalized prior to their last 30 days of life, what is the percentage of decedents who received pre-terminal pc consultation in british columbia?",28.1
"among those who received inpatient pc in their last year of life and who were hospitalized prior to their last 30 days of life, what is the percentage of decedents who received pre-terminal pc consultation in 2010?",23.3
"among those who received inpatient pc in their last year of life and who were hospitalized prior to their last 30 days of life, what is the percentage of decedents who received pre-terminal pc consultation in 2014?",20.9
"in 2014, how many percentage point has men scored on the 14-question quiz?",62.2
"in 2014, how many percentage point has women scored on the 14-question quiz?",58.6
"among those aged 55 to 64, how many times were men more likely to answer the five questions correctly than women?",2
"among all s&e majors, which study field's use of community colleges was lower, among those with degrees in engineering or s&e graduates?",engineering
"among all s&e majors, which study field's use of community colleges was lower, among those with degrees in the physical and related sciences or s&e graduates?",physical and related sciences
how many passing yards did cody kessler get in his career?,10339.0
what was the winning pecentage of brentford?,51.28
what was the result that debbie ferguson-mckenzie got in the 200m event in the semifinal?,22.51
which club did david silva play for in 2013-14?,manchester city
"among men who relied on advice from a financial advisor and who did not rely on advice from a financial advisor,which were more likely to answer the five questions correctly?",advice from a financial advisor
"among women who relied on advice from a financial advisor and who did not rely on advice from a financial advisor,which were more likely to answer the five questions correctly?",advice from a financial advisor
"in 2007, how many net liability position per capita was recorded by newfoundland?",13505.0
"in 2007, how many net liability position per capita was recorded by quebec?",11992.0
"in 2008, which place recorded the highest net liability position?",quebec
"in 2009, which place recorded the highest net liability position?",quebec
"in 2010, which place recorded the highest net liability position?",quebec
"in 2007, how many net liability position per capita was recorded by ontario?",9849.0
"in 2007, how many net liability position per capita was recorded by ontario?",17734.0
"between 2011 and 2012, how many percentage point of net liability position per capita has increased in ontario?",0.800589
"between 2007 and 2012, how many percentage point of net liability position per capita has increased in prince edward island?",0.345773
"between 2007 and 2012, how many percentage point of net liability position per capita has increased in new brunswick?",0.546903
"between 2007 and 2012, how many percentage point of net liability position per capita has increased in nova scotia?",0.134959
which place recorded the fifth highest net liability position per capita among provinces and territories in canada in 2012?,manitoba
"between 2007 and 2012, how many percentage point of net liability position per capita has increased in manitoba?",0.486906
"between 2007 and 2012, how many of net liability position per capita has declined in saskatchewan?",792
"in 2007, how maany net financial asset position of per capita was recorded in alberta?",11134
"in 2012, how many net financial asset position of per capita was recorded in alberta?",5874
"in 2012, how many net financial asset position of per capita was recorded in british columbia?",5581.0
"between 2007 and 2012, how many percentage point of net liability position per capita has increased in british columbia?",1.395279
"in 2012, how many net financial asset position of per capita was recorded in yukon?",13436.0
"in 2012, how many net financial asset position of per capita was recorded in nunavut?",11654.0
what is the percentage of those in the ia group who have at least a bachelor's degree?,73.11
what is the percentage of the oci group and live-in caregivers who have at least a bachelor's degree?,52.24
what is the percentage of the ci-eb group who work in managerial jobs?,41.71
what is the percentage of the ci-eb group who work in jobs requiring professional skills?,39.9
what is the percentage of the ia group who work in jobs requiring professional skills?,59.25
what is the percentage of the oci group who work in jobs requiring professional skills?,65.98
what is the percentage of the tfw-lmo group who work in jobs requiring professional skills?,61.79
what are the employment rates of male tfws?,92.92
what are the employment rates of female tfws?,87.3
"among tfws who have earnings, who earned more, men or women?",men
what is the percentage point of the regular force cohort of this study population were male?,86.5
what is the percentage point of the cohort were also 30 years of age or older?,72.9
what is the percentage point of the cohort had served 20 years or more?,53.7
what is the percentage point of the cohort were junior and senior non-commissioned members at release?,57.2
what is the percentage point of the cohort were not clients of vac?,0.629734
what is the average percentage point of the decline in income from the pre-release year to the first three years post-release for the regular force cohort?,3
what is the percentage point of female veterans had decline in income from the pre-release year to the first three years post-release?,21
what is the percentage point of medically released veterans had decline in income from the pre-release year to the first three years post-release?,19
what is the percentage point of those who served 2 to 9 years had decline in income from the pre-release year to the first three years post-release?,16
what is the rates of veterans who were released as recruits had experiencing low income at least one year post-release?,38.0
what is the rates of veterans who were released as involuntary releases had experiencing low income at least one year post-release?,37.0
what is the rates of veterans who were less than 2 years of service had experiencing low income at least one year post-release?,37.0
what is the rates of veterans who released at retirement age had experiencing low income at least one year post-release?,1.0
what is the rates of veterans who were released at aged 50 and older had experiencing low income at least one year post-release?,2.0
what is the rates of veterans who were released as senior officers had experiencing low income at least one year post-release?,2.0
what is the percentage of veterans had left their couple relationship (separated) during the first 3 years post-release one in five veterans?,11.0
what is the percentage of veterans had entered in a couple relationship during the first 3 years post-release one in five veterans?,21.0
what is the percentage of veterans had their first child during the first 3 years post-release one in five veterans?,22.0
what is the percentage of veterans who aged 30 to 34 had separation during the first 3 years post-release one in five veterans?,13.0
what is the percentage of veterans who who had 10 to 19 years of service had separation during the first 3 years post-release one in five veterans?,13.0
which reason was the most frequently cited reason for attending a community college?,earn credits for a bachelor's degree
"what was the percentage points of recent graduates reported ""to complete an associate's degree"" as a reason for attending community college?",41.5
what was the rank of wisconsin?,23.0
what was the proportion of 'no religion' in brighton and hove?,42.4
how many rushing yards did sproles get in 2013?,220.0
what the matches did the york city f.c. appear in?,"<fa cup>, <league cup>, <fl trophy>"
what was the number of appearances made by peter gelson for brentford in all competitions?,516.0
how many million dollars did research and experimental development perform in the united states totaled in 2016?,515305.0
"how many million dollars is the estimated total for 2017, based on performer-reported expectations?",542222.0
what is the numbers of million dollars compared with u.s. r&d totals in 2013?,453964.0
what is the numbers of million dollars compared with u.s. r&d totals in 2014?,475418.0
what is the numbers of million dollars compared with u.s. r&d totals in 2015?,493687.0
which club did pounewatchy play for in 1997-98?,carlisle united
which club did diskerud play for in 2012?,rosenborg
how many rushing yards did booker get in 2016?,612.0
how many rushing yards did derek brown get totally?,1383.0
what was the percentage of businesses majority-owned by visible minorities reported a decrease in revenue of 40% or more?,24.7
what was the percentage of all businesses in canada said the same?,21.1
what was the percentage of businesses majority-owned by visible minorities reported no change in revenues?,19.8
what was the percentage of all businesses in canada reported no change in revenues?,25.5
what was the percentage of businesses majority-owned by visible minorities reported an increase in revenue?,13.7
what was the percentage of businesses majority-owned by visible minorities reported a decrease in revenue of 40% or more?,24.7
what was the percentage of all businesses in canada reported a decrease in revenue of 40% or more?,21.1
what was the percentage of businesses majority-owned by visible minorities reported no change in revenues?,19.8
what was the percentage of all businesses in canada reported no change in revenues?,25.5
what was the percentage of businesses majority-owned by visible minorities reported an increase in revenue?,13.7
what is the overall response rate of prices in the april 2020?,82.9
what is the rate of canadians aged 15 years and older reporting volunteering in 2013?,44.0
how many canadians aged 15 years and older reporting volunteering in 2013?,12716.0
"in which year is the volunteer rate lower, 2010 or 2013?",2013.0
what is the number of volunteers in 2004?,11773.0
"adjusted for inflation, what was the growth in u.s. total r&d averaged annually over the 8-year period 2008-16?",1.6
"adjusted for inflation, what was the average pace of u.s. gross domestic product (gdp) over the 8-year period 2008-16?",1.6
"the average annual rate of r&d growth was notably higher in the prior 8-year period (2000-08), what was the percentage points for total r&d?",2.8
"the average annual pace of gdp expansion was notably higher in the prior 8-year period (2000-08), what was the percentage points for gdp?",2.2
what is the average annual pace of growth for u.s. total r&d over 2010-16?,2.35
how many percentage points is the average annual rate of growth forgdp over 2010-16?,2.1
what is the estimate growth in u.s. total r&d in 2017?,3.3
what is the estimate growth for gdp in 2017?,2.2
what was the result that ibrahim nishwan got in the heat?,26.72
when did scioscia begin to manage the los angeles angels?,"<2000.0>, <2018.0>"
how many dollars of mean earnings on the main job for an individual who earned at least the minimum threshold for male workers?,72556.0
how many dollars of mean earnings on the main job for an individual who earned at least the minimum threshold for female workers?,52001.0
which sex are more involved in fundraising?,women
which sex are more involved in organizing events?,women
which sex are more involved in providing health care?,women
how many times is the probability of men to coach than that of women?,2.181818
how many times is the probability of men to provide services related to maintenance or repair than that of women?,2.3
what is the percentage of volunteers receiving some form of formal support from their employer in 2013?,55.0
what is the percentage of employed volunteers indicating that their employer approves either a change in work hours or a reduction in work activities in 2013?,34.0
"what is the percentage of the ability to take time off, whether paid or unpaid, to volunteer reported by volunteers in 2013?",20.0
what is the percentage of volunteers saying that their employer allowed the use of facilities or equipment in 2013?,27.0
which type is the second most common form of employer support in 2013?,use of facilities or equipment
"in which year is the prevalence of formal recognition or letter of thanks less , 2010 or 2013?",2013.0
what is the prevalence of formal recognition or letter of thanks in 2010?,24.0
what is the prevalence of formal recognition or letter of thanks in 2013?,19.0
what is the percentage of non-volunteers citing a lack of interest in volunteering in 2004?,23.0
what is the percentage of non-volunteers citing a lack of interest in volunteering in 2013?,29.0
how many percentage points do health-related and personal care support drop since 2010 to 2013?,4
