similarity_score,question
0.636,"among men who landed in the late 1990s and early 2000s, how many percentage of those had some prior canadian experience?"
0.667,"among men who landed over the period from 2005 to 2006, how many percentage of those had some prior canadian experience?"
0.749,"by 2005/2006, how many percentage of immigrant men with only canadian study experience accounted for immigrants with prior canadian experience?"
0.6119,how many million dollars did academic institutions expend on major repairs and renovation of s&e research space started in fy 2018 or fy 2019?
0.5715,what was the costs for repair and renovations started in fys 2018-19 for engineering?
0.6223,what was the costs for repair and renovations started in fys 2018-19 for physical sciences research space?
0.5368,how many million dollars do institutions anticipate in costs for planned repairs and renovations with start dates in fy 2020 or fy 2021?
0.5403,how many million dollars do they expect to spend improving research space in biological and biomedical sciences in fy 2020 or fy 2021?
0.3469,how many receiving yards did chris givens get in 2013?
0.4402,what was the result of wins and losses in seattle mariners?
0.4569,what was the percent of people found a new job in construction?
0.4464,what was the percent of people found a new position in highly skilled services?
0.4464,what was the percent of people found a new position in highly skilled services?
0.6174,"regarding the transition between provinces of study between the first and second educational qualifications, what was the percent of graduates remained in the same province for both of their graduations?"
0.3893,"in total, what was the proportion of bachelor graduates from 2010 who obtained an additional short-duration credential between 2013 and 2015 and who worked in low value-added service industries fell two years before obtaining the short-duration credential?"
0.3991,"in total, what was the proportion of bachelor graduates from 2010 who obtained an additional short-duration credential between 2013 and 2015 and who worked in low value-added service industries fell two years after obtaining the short-duration credential?"
0.4529,what was the unionization rate increased betweeen two years before and two years after obtaining the short-duration credential?
0.6347,"in 2015, what was the percentage points of the disparity in employment rates between aboriginal and non-aboriginal people when the foreign-born were excluded from the non-aboriginal population?"
0.6347,"in 2015, what was the percentage points of the disparity in employment rates between aboriginal and non-aboriginal people when the foreign-born were included from the non-aboriginal population?"
0.5584,"in 2015, what was the employment rate for aboriginal people which was highest in the atlantic region?"
0.5914,"in 2015, what was the employment rate for non-aboriginal people which was highest in the atlantic region at 79.2%?"
0.5268,what was the smallest disparity of the atlantic region had in employment rates between aboriginal and non-aboriginal people observed among the provinces/regions?
0.4912,"of the 590 institutions surveyed, how many percentage points did the top 30 institutions ranked by total s&e research nasf account for of all research space in fy 2019?"
0.3034,how many receptions did dennis pitta get in 2016?
0.2761,what was the peak chart position on the uk of the north borders?
0.2572,"what was the result that samwel kimani got in the 1,500m event?"
0.4379,how many passing yards did lee get in 2014?
0.3319,how many rushing yards did lewis get in 2018?
0.4092,how many passing yards did hill finish the 2014 season with?
0.3577,"in 2006, how many touchdowns did daniels finish his rookie season with?"
0.6105,"self-employment was less common among which type of people, aboriginal people or non-aboriginal people?"
0.588,"which group of people were slightly less likely to work in the private sector, aboriginal people or non-aboriginal people?"
0.5926,"which group of people were more likely to work in the public sector, aboriginal people or non-aboriginal people?"
0.6674,what was an average dollars per hour did aboriginal employees working full-time earne?
0.6745,what was an average dollars per hour did non-aboriginal employees working full-time earne?
0.4177,how many million dollars did research and experimental development (r&d) perform in the united states totaled in 2015?
0.352,"how many dollars of the estimated total for 2016, based on performerreported expectations?"
0.5641,how many million dollars does u.s. r&d total in 2013?
0.5683,how many million dollars does u.s. r&d total in 2014?
0.53,"in 2008, what was the u.s. total million dollars?"
0.3984,which club did gil vicente play for in 2001-02?
0.409,which club did rahim zahivi play for in 2015-16?
0.1884,when did the single 212 release?
0.5509,what was the number of canada's seniors aged 65 and over were women?
0.6267,"3.2 million of canada's seniors aged 65 and over were women, how many percentage points did they account for in this age group?"
0.4817,"by 2061, what was the number of seniors would be women?"
0.5742,"by 2061, 6.7 million of seniors would be women, how many percentage points did they account for of the senior population?"
0.5181,"in 1941, at age 65, how many years could women expect to live ?"
0.4877,"in 1941, at age 65, how many years could men expect to live ?"
0.4864,"in 1941, at age 65, women and men could expect to live an additional 14.1 and 12.8 years, respectively, what was a difference of men and women?"
0.5436,what was the percent of senior women were part of a couple in 2011?
0.5286,what was the percent of senior men were part of a couple in 2011?
0.5005,what was the percent of most women in their late sixties were part of a couple?
0.4871,what was the percent of most men in their late sixties were part of a couple?
0.558,"the share dropped with age, and by age 85 and over, what was the percent of women were part of a couple?"
0.5413,"at age 85 and over, what was the percent of men were part of a couple?"
0.6007,what was the percent of women aged 75 to 79 were part of a couple in 2011?
0.1071,what was rose's result at the end of the preliminaries?
0.3544,how many goals did dargie score totally?
0.538,what was the percentage of increase in the earnings dispersion of the estimated coefficient suggests that an increase of 1% in the dispersion of lp?
0.5896,"what was the correlation coefficient, which is only slightly smaller than the earnings dispersion measure?"
0.56,list the top3 organization and association types reported by senior women and percentage respectively.
0.6196,what's the percentage of women aged 75 and over participating in a seniors' group?
0.433,"which is more about participateions in a religious organization,older senior women or younger senior women."
0.4983,"which is less about participations in a cultural, educational, or hobby organization,older senior women or younger senior women."
0.5684,list the top 3 organization and association types reported by senior men and percentage respectively.
0.5711,what are the percentage of women aged 65 to 74 and women aged 75 and over reported having no close family members respectively.
0.5007,"which is more of having daily in-person contact with friends,older senior women or women aged 65 to 74."
0.4307,"which sex is less likely having no close family members,senior men or senior women?"
0.4131,"which is less likely to report having daily in-person contact with a family member,senior men or senior women."
0.5479,what are the percentage of female and male internet users aged 65 and over reported that they had done electronic banking.
0.53,what are the percentages of senior women and senior men searching for information on goods or services.
0.3006,"which was less likely to have made an online purchase,senior women or senior men."
0.7449,"what are the percentages of women and men aged 65 and over reported smoking currently, either regularly or occasionally."
0.602,"which is less likely to have ever smoked in their lifetime,senior women or senior men."
0.7264,what are the percentages of women aged 85 and over and women aged 65 to 74 reported being current smokers.
0.6753,what's the percentage of women aged 65 to 74 had smoked in their lifetime.
0.6568,what's the percentage of senior women living in private households had at least one chronic health condition.
0.7425,what's the percentage of women aged 85 and over had at least one chronic health condition.
0.624,"which is less likely to had at least one chronic health condition,senior men or senior women."
0.6385,what's the percentage of women aged 65 and over living in private households reported having at least one disability.
0.6892,what's the percentage of women aged 85 and over reported having at least one disability.
0.6208,"which is less likely to report having a disability,men aged 65 or women aged 65."
0.5641,how many thousand dollars did state government agency expendi- tures for research and development total in fy 2016?
0.5683,"state government agency expendi- tures for research and development totaled $2.3 billion in fy 2016, what was an increase from fy 2015?"
0.6161,how many thousand dollars did state government agency r&d expenditures in fy 2016 total?
0.6399,"state government agency r&d expenditures in fy 2016 totaled $2.3 billion, how many percent were came from state and other nonfederal sources?"
0.5922,how many percent of the states' r&d expenditures went to extramural r&d performers in fy 2016?
0.3018,which club did chavalerin play for in 2017-18?
0.4173,how many games did glen sonmor appear for in 1986-87?
0.4276,how many league goals did frank sharp score for grimsby town in 1973-74?
0.4329,how many passing yards did peyton manning get in 2013?
0.586,"what's the percentage of women aged 65 and over who received paid help reported receiving help with household chores, such as meal preparation and cleaning."
0.5773,what were the second and third most frequently reported types of help received by senior women.
0.4416,which was the most frequently reported by senior men was help with medical treatments.
0.5086,what's the percentage of women aged 65 and over living in private households reported at least one unmet need for help with daily activities.
0.4513,which is higher among senior women who had received help and lower among those who had not.
0.5364,what's the percentage of senior men reported having unmet needs for help.
0.5546,"what were the percentages of cause of death among women and men aged 65 and over were malignant neoplasms, or cancer."
0.4235,which was the second leading cause of death to senior women and men.
0.4378,which was the the third leading cause of death for senior women and the fourth leading cause for senior men.
0.4432,which were the he fourth most common cause of death among senior women.
0.4981,what were the percentages of the participation rate of mothers in household work remained higher than that of fathers during the course of an average day in 2015.
0.4992,what were the percentages of fathers' participation in household work in1986 and 2015 respectively.
0.4221,how many hours had fathers spent when they had performed household work in 2015.
0.4069,how many hours had mothers spent when they had performed household work in 2015.
0.5709,what's the percentage of fathers who had worked 8 hours or more in household work.
0.5129,"how many minutes did fathers who had not participated in paid work but who had performed household work during the reference day, the average time spenting on household."
0.5319,"how many minutes did fathers who had participated in paid work 8 hours or more, the average time spenting on household."
0.5682,what's the percentage of mothers who having participated in 8 hours or more of paid work during the day had provided help or care to their children.
0.5204,"who were more likely to provided child care, fathers who had not worked at all during the day or mothers who had worked at a paid job for 8 hours or more during the day?"
0.3658,how many passing yards did shockley get in 2002?
0.4222,what's the percentage of people only had contact with police.
0.529,"what's the percentage of people moved through the entire system, from policing to courts and through to corrections."
0.6095,"of the 6,900 people whose pathway took them through to correctional services,what's the percentage of those had a re-contact with police for a new offence after the completion of their first pathway."
0.5761,of people whose first contact ended in the court systemwhat's the percentage of those came back into contact with police for a new offence.
0.5622,"of youth whose first contact ended in the court system,what's the percentage of those came back into contact with police for a new offence."
0.5796,"of the youth whose pathway took them through to correctional services,what's the percentage of those had a re-contact with police for a new offence after the completion of their first pathway."
0.4061,",what's the percentage of those had 5 or more re-contacts with the system."
0.4905,"of people whose first pathway ended in courts or corrections to have 5 or more re-contacts with police following their first contact.,what's the coefficient relationship between youth and adult."
0.6068,"of youth who completed their first pathway in the court system ,what's the percentage of those had 5 or more re-contacts with police by the end of the study period."
0.6806,"of youth who had contact with corrections,what's the percentage of those who had 5 or more re-contacts with police."
0.2156,"which type of holders are far more likely to have taken programs typically associated with relatively high pay, such as business, management and public administration or health and related fields, cbd holders or ubd holders?"
0.2503,"which type of holders are less likely to have taken programs typically associated with relatively low pay, such as education, humanities or social and behavioural sciences and law, cbd holders or ubd holders?"
0.465,"after year of graduation, sex, age, age squared, province of institution, how much are field of study (denoted by the two-digit 2011 cip codes for primary groupings) accounted for cbd holders earn less than ubd holders?"
0.5005,how much of the gap in the wages and salaries between cbd and ubd holders could be explained by differences in field of study choices?
0.2034,how many dollars could be explained by the fact that cbd holders are more than two years older than ubd holders?
0.5426,how many respondents did further analysis focus on the subpopulation who reported chronic pain?
0.4577,how mnay people did further analysis focused on the subpopulation who reported chronic pain represent?
0.4065,how many league goals did alan sheare score for blackburn rovers?
0.3214,how many receptions did robby anderson get in 2017?
0.4926,how many combined tackles did weddle get in 2013?
0.2322,which club did alistair brown play for in 1968-69?
0.5945,"among those who lived with their primary care receivers, what was the percent reported receiving some form of financial support?"
0.3886,"among those who lived with their primary care receivers, what was the percent of those who lived less than 10 minutes away by car?"
0.394,"among those who lived with their primary care receivers, what was the percent of those who lived between 10 and 29 minutes away by car?"
0.6752,what was the percent of caregivers who visited their primary care receiver less than once a month reported receiving some form of support?
0.1722,what was the figure among those who reported daily visits?
0.4399,what was the proportion of caregivers between the ages of 35 and 64 reported having unmet caregiving support needs?
0.4386,what was the proportion of caregivers between the ages of 34 and younger reported having unmet caregiving support needs?
0.4291,what was the proportion of caregivers between the ages of 65 and older reported having unmet caregiving support needs?
0.5755,what was the percent of caregivers who lived in the same household as their care recipient said that their support needs were not met?
0.2646,what was the percent of those who lived between 10 and 29 minutes away by car?
0.6339,what was the percent of caregivers who visited their primary care receiver less than once a month reported that they would have liked to have received more support?
0.5536,what was the figure among caregivers who said they visited their primary care receiver daily?
0.5173,"specifically, among canadian youth from the third generation or more whose parents had a high school diploma or less, what was the predicted probability (adjusted for other factors) of having a university degree?"
0.3891,"for youth with an immigrant background from east asia whose parents had a high school diploma or less, what was their probability of having a university degree?"
0.5102,what was the probability of canadian youth from the third generation or more whose parents had a university degree above the bachelor level?
0.6273,"in 2017, police reported 660 homicide victims in canada, what was the difference in 2016?"
0.447,"how many victims per 100,000 population of canadian people in 2017?"
0.4922,"how many homicides per 100,000 population, british columbia's homicide rate increased by 32%?"
0.4417,how many regular season nhl games did berthiaume play during his career?
0.3712,how many games did crawford coach the canucks totally?
0.3734,how many receptions did cantrell get in 2014?
0.5018,what was the result that neha ahuja got in the women's slalom in first run?
0.5597,"in 2017, how many gang-related homicides that occurred in british columbia?"
0.5982,"of the 37 total homicides in saskatchewan in 2017, what was the percent of homicides were gang-related?"
0.6051,"of the 37 total homicides in saskatchewan in 2016, what was the percent of homicides were gang-related?"
0.5771,"among the cmas, how many victioms did firearm-related homicides predominantly occurr in the five largest cmas of toronto?"
0.6247,"among the cmas, how many victims did firearm-related homicides predominantly occurr in the cmas of vancouver?"
0.5809,"among the cmas, how many victims did firearm-related homicides predominantly occurr in the cmas of edmonton?"
0.6596,"among the cmas, how many victims did firearm-related homicides predominantly occurr in the cmas of montreal?"
0.6273,"among the cmas, how many victims did firearm-related homicides predominantly occurr in the cmas of calgary?"
0.6292,"with a total of 58, how many more homicides committed with a firearm in toronto in 2017 than in 2016?"
0.5079,what was the largest declines in firearm-related homicides among the cmas occurred in halifax?
0.5498,what was the declines in firearm-related homicides among the cmas occurred in ottawa?
0.6015,what was the declines in firearm-related homicides among the cmas occurred in montreal?
0.5115,what was the average age for non-aboriginal victims?
0.4992,what was the average age for aboriginal victims?
0.5676,what was the average age for aboriginal accused persons?
0.5789,what was the average age for non-aboriginal accused persons?
0.4947,"in current dollars, how many percent did federally funded r&d at universities increase in fy 2016?"
0.4894,"in current dollars, how many million dollars did federally funded r&d at universities increase in fy 2016?"
0.5838,"in fy 2011, how many percent of total r&d expenditures was federally funded expenditures?"
0.5923,"in fy 2016, how many percent of total r&d expenditures was federally funded expenditures?"
0.5224,"all of the nonfederal funding sources showed increases from fy 2015 to fy 2016, how many percent in total rising in fy 2016?"
0.5287,"all of the nonfederal funding sources showed increases from fy 2015 to fy 2016, how many million dollars in total rising to in fy 2016?"
0.4561,which source of funds did expenditures funded had the largest increase?
0.3051,which club did shchotki play for in 2015?
0.4212,when did the film dawn of the dragon racers release?
0.7936,"of the children and youth aged 5 to 17 in 2006 with french as a mother tongue in canada outside quebec, what the percent of people were bilingual in english and french in 2016?"
0.4616,what was the percent of their counterparts with english as a mother tongue?
0.5542,what was the percent for those who had a mother tongue other than english or french?
0.7511,"in quebec, what was the percent of children and youth with english as a mother tongue were bilingual in english and french in 2016?"
0.638,"in quebec, what was the percent of their counterparts with french as a mother tongue?"
0.676,"in quebec, what was the percent of those with a mother tongue other than english or french?"
0.7022,"when other factors were taken into account in the multivariate model, what was the predicted probability of being bilingual in english and french in 2016 for children and youth with french as a mother tongue?"
0.6885,"when other factors were taken into account in the multivariate model, what was the predicted probability of being bilingual in english and french in 2016 was higher for children and youth with english as a mother tongue?"
0.7324,what was the english-french bilingualism acquisition rate in 2016 for youth in quebec whose parents had a bachelor's degree?
0.7337,what wast the english-french bilingualism acquisition rate in 2016 for youth in quebec whose parents had a high school diploma?
0.7421,what was the retention rates for quebec children and youth who were bilingual in english and french in 2006 for all age groups?
0.724,"in canada outside quebec, which bilingual youth group in 2006 had a lower retention rate in children , aged 14 to 17 or aged 5 to 7?"
0.4737,what the percent did the weight of cargo loaded and unloaded at canadian airports decrease year-over-year in 2019?
0.2305,which schools were more likely to be sectarian?
0.2795,which schools were less likely to follow a semester mode?
0.3283,"which schools' average student enrollment was considerably lower, public schools or private schools?"
0.3968,"which schools had the higher student-teacher ratio, public schools or private schools?"
0.3742,"which schools had the lower average annual number of instructional hours, public schools or private schools?"
0.3579,"which schools had the higher average number of computers per student, in private schools or public schools?"
0.3358,"a factor that stands out was the extent to which teachers' low expectations hindered learning: what was the percent of public school principals reported that low expectations from teachers hindered learning ""some"" or ""a lot,""?"
0.3358,"a factor that stands out was the extent to which teachers' low expectations hindered learning: what was the percent of private school principals reported that low expectations from teachers hindered learning ""some"" or ""a lot,""?"
0.3237,"in private schools, what was the percent of students had peers with a university-educated parent?"
0.3398,"in public schools, what was the percent of students had peers with a university-educated parent?"
0.4931,what was the percent of all private school students in quebec?
0.438,what was the percent of all public school students in ontario?
0.3057,how many percent of private school students did british columbia account for?
0.3293,how many percent of public school students did british columbia account for?
0.4636,"in the reading test, how many log points did private school students outperform their public school counterparts?"
0.4239,"by age 23, what was the percent of private school students had graduated from high school?"
0.4748,"by age 23, 99% of private school students had graduated from high school, how many percentage points above the figure for public school students?"
0.5125,"what the percent of the gaps did school resources and practices account for and at times, their contribution was negative?"
0.4457,"how many percent did higher education r&d which has long been heavily concentrated in three fields, which together accounted for of the total spent in fy 2016: health sciences, biological and biomedical sciences, and engineering?"
0.3966,"among the broad fields, which fields did r&d expenditures see the largest growth in fy 2016?"
0.3563,what was the result that helen glover and heather stanning got in the heats of the pair?
0.2964,which club did tim steele play for in the third division in 1988-89?
0.588,"in 2015, what was the employment rate of women with a high school diploma?"
0.5278,"in 2015, what was the employment rate of women with a university degree?"
0.5787,"in 2015, the employment rate of women with a high school diploma was 69.3% compared to 83.1% for those with a university degree, what was the difference of them?"
0.5362,what was the employment rate of men with a high school diploma?
0.4866,what was the employment rate of men with a university degree?
0.5713,"the employment rate of men with a high school diploma was 81.9% compared to 89.9% for those with a university degree, what was the difference of them?"
0.4463,which gender has a greater proportion overall in the 20 occupations?
0.4302,in which year is the proportion of women in 20 occupations overall greater than men in the same jobs?
0.4815,"what's the percentage of women that were employed in occupations involving the ""5 cs"" in 2015?"
0.4831,"what's the percentage of women that were employed in occupations involving the ""5 cs"" in 1987?"
0.4675,"which year has a greater proportion of women employed in occupations involving ""5 cs"", 1987 or 2015?"
0.5037,what's the percentage of men employed in occupations like secondary and elementary school teachers and educational counsellors in 2015?
0.5168,what's the percentage of men employed in occupations like secondary and elementary school teachers and educational counsellors in 1987?
0.4234,"which year has a greater proportion of men employed in traditionally-female occupations, 2015 or 1987?"
0.4673,what was the average hourly wage of women with professional occupations in nursing in 2015?
0.4813,what was the average hourly wage of men with professional occupations in natural and applied science in 2015?
0.4484,what's the difference of hourly wage between professional women working in nursing and men with professional occupations in natural and applied science in 2015?
0.519,what was the hourly wage for women in administrative occupations?
0.4702,what was the hourly wage for men in construction-related trades?
0.4624,"new york university rose 12 spots from number 35 in fy 2015 to number 23 in fy 2016, how many percent of increase?"
0.5026,"new york university rose 12 spots from number 35 in fy 2015 to number 23 in fy 2016, how many billion dollars of a increase?"
0.3831,how many games did julius peppers play in his career?
0.1358,"when did ""she works hard for the money"" release?"
0.2363,which club did espindola play for in 2012-13?
0.4757,what was the managerial record(wins and losses) of johnny oates with rangers?
0.3845,how many rushing yards did josh mccown get in 2003?
0.377,which club did freddie goodwin play for in 1966-67?
0.3512,how many rushing touchdowns did alvin kamara finish his second season with?
0.3798,what is the final result for kari peters tooking part in the men's sprint?
0.3922,"on a global scale, how many percent of publications were in journals classified as covering the biological sciences, medical sciences, or other life sciences?"
0.4321,how many percent did engineering publications make up of the global output?
0.2746,how many percent did researchers in the united states produce a proportion of publications in psychology?
0.34,how many percent did researchers in the united states produce a proportion of publications in social sciences?
0.3661,how many percent did japan had larger publication shares in the fields of chemistry?
0.3192,how many percent did japan had larger publication shares in the fields of physics?
0.4924,"china's research portfolio showed a different pattern than the one for the united states and the world, how many percent of a greater focus on engineering?"
0.4804,"china's research portfolio showed a different pattern than the one for the united states and the world, how many percent of a greater focus on chemistry?"
0.5896,how many seats did the national smallholders and agricultural labourers party and the christian national union party win totally?
0.3299,when did lloyd mcclendon become the manager of the pittsburgh pirates?
0.3693,what was the odds of ever repeating a grade among movers?
0.3715,what was the odds of ever repeating a grade among non-movers?
0.3036,"which type was more likely to have ever repeated a grade, movers or non-movers?"
0.3491,how many percent did researchers in china account of u.s. internationally coauthored publications in 2014?
0.4192,how many percent did data on international collaboration of other countries indicate that publications from authors from south korea are notable for having high collaboration rates with u.s. authors?
0.4163,how many percent did data on international collaboration of other countries indicate that publications from authors from china are notable for having high collaboration rates with u.s. authors?
0.3832,how many percent did data on international collaboration of other countries indicate that publications from authors from canada are notable for having high collaboration rates with u.s. authors?
0.1572,which team did canning play for in 2016?
0.3122,what was the combined time did chamoun get in the final?
0.6157,"what was the proportion of homelessness support sector workers that obtained a trade school, college or non-university certificate or diploma?"
0.5583,what was the proportion of homelessness support sector workers that earned a bachelor's degree?
0.4604,what was the proportion of social workers that had a bachelor's degree?
0.5512,what was the proportion of social workers that had a graduate degree or certificate above the bachelor's level?
0.5848,how many employees were in homelessness support sector with post-secondary education?
0.5633,"what was the proportion of employees in the homelessness support sector that reported their major filed of study as business, management and public administration?"
0.5897,what was the proportion of employees in the homelessness support sector that reported studying fields related to public administration and social service professions?
0.5714,what was the proportion of homelessness support sector workers that reported studying social and behavioural sciences and law?
0.5343,"what was the proportion of social workers that reported business, management and public administration as their major field of study?"
0.4844,what was the proportion of social workers that reported social and behavioural sciences and law as their major field of study?
0.5001,what was the proportion of social and community service workers reported their major field of study as social and behavioural sciences and law?
0.5357,"what was the proportion of social and community service workers reported their major field of study as business, management and public administration?"
0.5564,what was the proportion of social and community service workers reported their major field of study as health and related fields?
0.5484,how many individuals in total earned minimum wages in 2017?
0.701,what was the total proportion of students aged 15 to 24 and non-students at the same age living with their parents among all individuals that earned minimum wages in 2017?
0.6746,"what was the proportion of minimum wage workers in 2017 that were under 65 and unattached individuals, lone parents or spouses/partners in single-earner couples?"
0.6591,what was the proportion of minimum wage workers in 2017 that were under 65 and spouses/partners in dual-earner couples?
0.702,"what was the total proportion of students aged 15 to 24 and non-students the same age living with their parents; individuals aged 15 to 64 who were single, lone parents or spouses/partners in single-earner couples; and individuals aged 15 to 64 who were spouses/partners in dual-earner couples?"
0.5146,how many individuals in total earned minimum wages in the first quarter of 2018?
0.5174,how many individuals in total earned minimum wages in the first quarter of 2017?
0.4764,what was the proportion of minimum wage workers of all employees in early 2018?
0.4746,what was the proportion of minimum wage workers of all employees in early 2017?
0.5952,what was the proportion of minimum wage workers that were students aged 15 to 24 in the first quarter of 2017?
0.596,what was the proportion of minimum wage workers that were students aged 15 to 24 in the first quarter of 2018?
0.5363,what was the proportion of minimum wage workers that aged 35 to 64 in the first quarter of 2017?
0.5427,what was the proportion of minimum wage workers that aged 35 to 64 in the first quarter of 2018?
0.5631,what was the proportion difference of minimum wage workers that aged 35 to 64 in the first quarter of 2017 and ealry 2018?
0.6515,what was the proportion of minimum wage workers that aged 15 to 24 and non-students the same age living with their parents in early 2018?
0.6524,what was the proportion of minimum wage workers that aged 15 to 24 and non-students the same age living with their parents in early 2017?
0.6718,what was the proportion difference of minimum wage workers that were students aged 15 to 24 and non-students the same age living wither their parents in the first quarter of 2017 and ealry 2018?
0.4484,how many million dollars did businesses spend on research and development performance in the united states in 2015?
0.4587,how many million dollars did businesses spend on research and development performance in the united states in 2014?
0.44,"businesses spent $356 billion on research and development performance in the united states in 2015, how many percent of increase over the $341 billion spent in 2014?"
0.4361,how many million dollars was funding from the companies' own sources in 2015?
0.4446,how many million dollars was funding from the companies' own sources in 2014?
0.4442,"funding from the companies' own sources was $297 billion in 2015, how many percent of increase from the $283 billion spent in 2014?"
0.397,how many million dollars was funding from other sources in 2015?
0.4027,how many million dollars was funding from other sources in 2014?
0.552,"in 2015, of the $356 million companies spent on r&d, how many million dollars were spent on basic research?"
0.5679,"in 2015, of the $356 million companies spent on r&d, how many million dollars were spent on applied research?"
0.4656,"in 2015, of the $356 million companies spent on r&d, how many million dollars were spent on development?"
0.3921,how many combined tackles did martinez get in 2017?
0.4961,how many regular season games did trotz coach totally?
0.4013,how many rushing yards did goodson get in 2010?
0.4631,"in 2015, how many percent did companies in manufacturing industries perform of domestic r&d, defined as r&d performed in the 50 states and washington, d.c.?"
0.5028,"in 2015, how many million dollars did companies in manufacturing industries perform of domestic r&d, defined as r&d performed in the 50 states and washington, d.c.?"
0.4608,how many percnet did most of the funding was from these companies' own funds?
0.4514,how many million dollars of domesitc r&d did companies in nonmanufacturing industries perform?
0.4449,how many percnet did companies in nonmanufacturing industries perform? of total domestic r&d performance?
0.6048,"companies in nonmanufacturing industries performed $120 billion of domestic r&d, how many percent of which was paid for from companies' own funds?"
0.3809,how many million dollars were paid for by others?
0.4304,"of the $59 million paid for by others, how many million dollars did the federal government account for?"
0.4175,how many million dollars among external funders were foreign companies?
0.4304,"among external funders were foreign companies-including foreign parent companies of u.s. subsidiaries and other u.s. companies, how many million dollars in u.s. companies?"
0.303,"when did the album forgiven, not forgotten release?"
0.18,what was the result(goals and points) did shefflin score totally?
0.3999,how many passing yards did mullens get in 2018?
0.2671,how many goals did harrison score for esperance totally?
0.5795,"how many percent did the largest companies (25,000 or more domestic employees) perform of the nation's total business r&d in 2015?"
0.643,"what was the r&d intensity of the largest companies (25,000 or more domestic employees)?"
0.5559,"how many percent of employees did the largest companies (25,000 or more domestic employees) employ who worked for r&d-performing or r&d-funding companies?"
0.5512,"how many percent of r&d employees did the largest companies (25,000 or more domestic employees) employ in the united states?"
0.3306,what was the peak chart position on the us of lost forever // lost together ?
0.3927,what was the number of appearances made by stephen o'donnell for the partick thistle club totally?
0.148,what was the land area of truro town(km2)?
0.3149,which club did john rudge play for in 1968-69?
0.5122,what was the number of league appearances made by turner for stoke totally?
0.6694,what was the percent of the aggregate technological frontier dropped from 2003 to 2009?
0.7519,what was the percentage points of the contributions of the high-productivity cohort?
0.7285,what was the percentage points of the contributions of the low-productivity cohort?
0.4329,what was the percentage points of the contributions of the new entrants?
0.834,"the technological frontier fully recovered after 2009, what was the percentage points of the contributions of the high-productivity cohort?"
0.8265,"the technological frontier fully recovered after 2009, what was the percentage points of the contributions of the low-productivity cohort?"
0.6923,"the technological frontier fully recovered after 2009, what was the percentage points of the contributions of the new entrants?"
0.6694,what was the percent of the aggregate technological frontier dropped from 2003 to 2009?
0.7519,what was the percentage points of the contributions of the high-productivity cohort?
0.7285,what was the percentage points of the contributions of the low-productivity cohort?
0.4329,what was the percentage points of the contributions of the new entrants?
0.834,"the technological frontier fully recovered after 2009, what was the percentage points of the contributions of the high-productivity cohort?"
0.8265,"the technological frontier fully recovered after 2009, what was the percentage points of the contributions of the low-productivity cohort?"
0.6923,"the technological frontier fully recovered after 2009, what was the percentage points of the contributions of the new entrants?"
0.4941,"in 2015, how many million dollars did companies report of domestic r&d paid for by the company?"
0.3198,how many percent did businesses in california alone account for?
0.1695,what was the tie record of knox totally?
0.3248,which club did pedro sass petrazzi play for in 2015?
0.7618,"in nunavut, what was the percent of couples with at least one inuit spouse or partner, inuktut is the mother tongue of both partners?"
0.6783,what was the percent of couples where both members are inuit are linguistically exogamous?
0.7206,"what was the percent of inuit couples, inuktut is not the mother tongue of either partner?"
0.6837,"what was the percent of mixed couples (i.e., couples made up of one inuit and one non-inuit) are linguistically exogamous?"
0.6888,"inuktut is transmitted as a mother tongue, what was the percent of children aged 0 to 17 years living in a two-parent household where both parents have an inuktut-mother-tongue?"
0.451,what was the percent of children of linguistically exogamous couples?
0.6279,what was the percent of children of couples where neither parent has inuktut as a mother tongue?
0.5182,how many million dollars did companies that performed r&d in the united states in 2015 spend on assets with expected useful lives of more than 1 year?
0.5502,"how many million dollars were spent on structures, equipment, software, and other assets used for r&d?"
0.4389,how many million dollars were spent by manufacturers?
0.4929,how many million dollars by companies were spent in nonmanufacturing industries?
0.5481,how many people who use french at home in nunavut?
0.6546,"of the 625 people who use french at home in nunavut, how mnay people live in iqaluit?"
0.6788,"of the 625 people who use french at home in nunavut, what was the percent of people live in iqaluit?"
0.583,"in relation to nunavut's total population, the rate of geographic concentration is very high; what was the percent of nunavut's total population was living in iqaluit in 2016?"
0.5914,"in 2016, what was the percent of those who spoke an immigrant language were living in iqaluit?"
0.6617,"in 2016, what was the number of inuit reported speaking french at least on a regular basis at home?"
0.604,how many inuit spoke an immigrant language at home?
0.4738,which region had the assessment value-to-income ratio?
0.5871,how many times in the vancouver cma where property values were greater than the income of owners?
0.6286,"in ontario, which region had the highest value-to-income ratio?"
0.6298,"in ontario, the highest value-to-income ratio was in the toronto, how many times in toronto cma where property values were greater than the income of owners?"
0.6619,"among all cmas in the three provinces, which region had the highest median income of property owners in ontario part?"
0.5629,"which region had the lower value-to-income ratio, in the cma or the provincial level?"
0.2898,which club did mohamed elyounoussi play for in 2011?
0.3531,which year was the last year that gary kubiak coached broncos ?
0.2614,what was the peak chart position on the us of the state?
0.6559,what was the percent of total employment of frontier firms for the period of 1991 to 2015?
0.6248,what was the percent of gross output in canadian industries of frontier firms for the period of 1991 to 2015?
0.6559,what was the percent of total employment of frontier firms for the period of 1991 to 2015?
0.6248,what was the percent of gross output in canadian industries of frontier firms for the period of 1991 to 2015?
